UID	HebName	EngClean	orig_status	orig_grade	engine_pick_id	resolved_kima_id	resolved_rom	dist_km	method	verdict	Latitude	Longitude	Sourcing	KaganID	JGenID	USBGN	YS_id	candidates
AF-00011	הראת	Herat	name_exact	A_autolink	10327	10327	Herat (Afghanistan)	0.0	exact_geoverified	KEEP	34.341944	62.203056	Ketubah					10327
AF-00012	הרי רוד	Hari River	fuzzy	C_review		3486	Hari Rud	153.2	coord_rearbitrated	REVIEW	34.65	66.716667	Ketubah					3486|4163|3764|2202|2045
AL-00011	אבילונה	Vlorë	name_exact	A_autolink	17345	17345	Vlorë (Albania)	1.9	exact_geoverified	KEEP	40.4660668	19.491356	SDM					17345
AL-00011	אוילונה	Vlorë	name_exact	A_autolink	17345	17345	Vlorë (Albania)	1.9	exact_geoverified	KEEP	40.4660668	19.491356	SDM					17345
AL-00012	אלישו	Lezhë	fuzzy	C_review		74515	Lezhë (Albania)	0.7	coord_rearbitrated	KEEP	41.7860729999999	19.6460758	SDM					74515|86924|13735|118|9579
AL-00013	נארטא	Nartë	fuzzy	C_review		20954	Arta (Greece)	197.7	coord_rearbitrated	REVIEW	40.499167	19.457222	Pri Etz Hayim 1742 Intro					3349|23111|10060|23120|20954
AM-00001		Yerevan	name_exact	A_autolink	8666	8666	Yerevan (Armenia)	0.3	exact_geoverified	KEEP	40.1833333333332	44.5166666666667	JGen		4912	-2325645		8666
AM-00011	וואראנסאווקע	Tashir	fuzzy	C_review		269	Te'ashur (Israel)	1384.3	coord_rearbitrated	REJECT	41.1159648	44.285778	Kagan	2651				269
AR-00000	ארגאנטינא	Argentina	name_exact	A_autolink	7805	7805	Argentina	492.2	exact_geoverified	KEEP	-38.416097	-63.6166719999999	VeZot LiYehudah					7805
AR-00000	ארגנטינא	Argentina	name_exact	A_autolink	7805	7805	Argentina	492.2	exact_geoverified	KEEP	-38.416097	-63.6166719999999	DivM					7805
AR-00000	ארגנטינה	Argentina	name_exact	A_autolink	7805	7805	Argentina	492.2	exact_geoverified	KEEP	-38.416097	-63.6166719999999	VeZot LiYehudah					7805
AR-00000	ארגענטינא	Argentina	name_exact	A_autolink	7805	7805	Argentina	492.2	exact_geoverified	KEEP	-38.416097	-63.6166719999999	IGMO					7805
AR-00001	בואינוס איירעס	Buenos Aires	name_exact	B_review	510	510	Buenos Aires (Argentina)	0.4	exact_geoverified	KEEP	-34.6036844	-58.3815591						510|7921|9397
AR-00001	בונעס איירעס	Buenos Aires	name_exact	B_review	510	510	Buenos Aires (Argentina)	0.4	exact_geoverified	KEEP	-34.6036844	-58.3815591	DivM					510|7921|9397
AR-00001	בונעס אירעס	Buenos Aires	name_exact	B_review	510	510	Buenos Aires (Argentina)	0.4	exact_geoverified	KEEP	-34.6036844	-58.3815591	Prenum - Hemdat Yisrael					510|7921|9397
AR-00001	בוענאס איירעס	Buenos Aires	name_exact	B_review	510	510	Buenos Aires (Argentina)	0.4	exact_geoverified	KEEP	-34.6036844	-58.3815591	Prenum 2325					510|7921|9397
