UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
US-00112,"Brownsville, Brooklyn, NY",40.66521,-73.91253,בראנזוויל,,,,,,,,,,,Brownsville,name_exact,coords,B_review,0.85,True,,12357,"Brownsville (New York, N.Y.)","ברונזויל (ניו יורק, ניו יורק)",0.5,8965|10051|12357
US-00112,"Brownsville, Brooklyn, NY",40.66521,-73.91253,בראנזויל,,,,,,Prenum 74,,,,,Brownsville,name_exact,coords,B_review,0.85,True,,12357,"Brownsville (New York, N.Y.)","ברונזויל (ניו יורק, ניו יורק)",0.5,8965|10051|12357
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סאן פראנצ.,,,,,,Prenum - Atzei Zayit,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סאן פראנציסקא,,,,,,Prenum - Divrei Radakh,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סאנטפראנציקא,,,,,,Shoel KeInyan,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סאנפרנציסקא,,,,,,Prenum 74,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סן פרנציסקא,,,,,,Prehum - Hemdat Yisrael,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00117,"San Francisco, CA",37.7749295,-122.4194155,סענפראנסיסקא,,,,,,Aharon Selig Pinkas Shadar,,,,,San Francisco,name_exact,coords,B_review,0.85,True,,6462,San Francisco (Calif.),סן פרנסיסקו (קליפורניה),0.4,6462|13346
US-00123,"Louisville, KY",38.2526647,-85.7584557,לאווילאס,,,,,,Prenum - Atzei Zayit,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00123,"Louisville, KY",38.2526647,-85.7584557,לואוס ווילקא,,,,,,רץ כצבי,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00123,"Louisville, KY",38.2526647,-85.7584557,לואי סווילקי,,,,,,Prenum - Hemdat Yisrael,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00123,"Louisville, KY",38.2526647,-85.7584557,לואיזוויל,,,,,,Prenum - Pri Yerucham,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00123,"Louisville, KY",38.2526647,-85.7584557,לואיסוויל,,,,,,https://archive.org/stream/nybc202343#page/n6/mode/1up,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00123,"Louisville, KY",38.2526647,-85.7584557,לויסווילע,,,,,,Prenum 74,,,,,Louisville,name_exact,coords,B_review,0.85,True,,6313,Louisville (Ky.),לואיוויל (קנטקי),0.7,6313|20486
US-00124,"Orlando, FL",28.53833,-81.37923,ארלאנדא,,,,,,https://archive.org/stream/nybc202343#page/n6/mode/1up,,,,,Orlando,name_exact,coords,B_review,0.85,True,,6088,Orlando (Fla.),אורלנדו (פלורידה),0.9,6088|15659
US-00125,"Jacksonville, FL",30.3321838,-81.6556509999999,דזשעקסאנוויל,,,,,,https://archive.org/stream/nybc202343#page/n6/mode/1up,,,,,Jacksonville,name_exact,coords,B_review,0.85,True,,7613,Jacksonville (Fla.),ג'קסונויל (פלורידה),1.8,7613|10221|12644
US-00127,"Chelsea, MA",42.3917638,-71.0328284,טשעלסא,,,,,,Prenum 74,,,,,Chelsea,name_exact,coords,B_review,0.85,True,,17552,Chelsea (Mass.),צ'לסי (מסצ'וסטס),0.0,7129|13389|17552|19555
US-00127,"Chelsea, MA",42.3917638,-71.0328284,טשעלסי,,,,,,Prenum - Torat Yisrael,,,,,Chelsea,name_exact,coords,B_review,0.85,True,,17552,Chelsea (Mass.),צ'לסי (מסצ'וסטס),0.0,7129|13389|17552|19555
US-00127,"Chelsea, MA",42.3917638,-71.0328284,טשעלסע,,,,,,Prenum - Siddur Beit Yehuda,,,,,Chelsea,name_exact,coords,B_review,0.85,True,,17552,Chelsea (Mass.),צ'לסי (מסצ'וסטס),0.0,7129|13389|17552|19555
US-00134,"Cumberland, MD",39.6528654,-78.7625185,קומבערלאנד,,,,,,https://hebrewbooks.org/pdfpager.aspx?req=2164&st=&pgnum=52,,,,,Cumberland,name_exact,coords,B_review,0.85,True,,7373,Cumberland (Md.),קמברלנד (מרילנד),0.0,7373|14711
US-00140,"Reading, PA",40.3356483,-75.9268747,רעדינג,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=5359&st=&pgnum=97,,,,,Reading,name_exact,coords,B_review,0.85,True,,6755,Reading (Pa.),רידינג (פנסילבניה),0.7,6755|7768|18735
US-00141,"Wilmington, DE",39.744655,-75.5483909,ווילמינגטאן,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=36402&st=&pgnum=353,,,,,Wilmington,name_exact,coords,B_review,0.85,True,,6080,Wilmington (Del.),וילמינגטון (דלאוור),0.5,6080|9707
US-00141,"Wilmington, DE",39.744655,-75.5483909,ווילמענגטאן,,,,,,https://www.hebrewbooks.org/pdfpager.aspx?req=5359&st=&pgnum=97,,,,,Wilmington,name_exact,coords,B_review,0.85,True,,6080,Wilmington (Del.),וילמינגטון (דלאוור),0.5,6080|9707
US-00145,"Bangor, ME",44.8016128,-68.7712257,ביינגאר,,,,,,Prenum - Torat Yisrael,,,,,Bangor,name_exact,coords,B_review,0.85,True,,8563,Bangor (Me.),בנגור (מיין),0.3,6253|8563
US-00145,"Bangor, ME",44.8016128,-68.7712257,ביינגער,,,,,,Prenum - Minhat Yaakov,,,,,Bangor,name_exact,coords,B_review,0.85,True,,8563,Bangor (Me.),בנגור (מיין),0.3,6253|8563
US-00145,"Bangor, ME",44.8016128,-68.7712257,פענגא,,,,,,Prenum - Zecher Ov,,,,,Bangor,name_exact,coords,B_review,0.85,True,,8563,Bangor (Me.),בנגור (מיין),0.3,6253|8563
US-00149,"Providence, RI",41.8239891,-71.4128343,פראווידענס,,,,,,Prenum - Torat Yisrael,,,,,Providence,name_exact,coords,B_review,0.85,True,,7741,Providence (R.I.),פרובידנס (רוד איילנד),0.0,7741|20792|25259
US-00154,"Salem, MA",42.51954,-70.8967155,סיילעם,,,,,,Prenum - Torat Yisrael,,,,,Salem,name_exact,coords,B_review,0.85,True,,7835,Salem (Mass.),סאלם (מסצ'וסטס),0.3,7213|7835|14059|17308
US-00155,"Worcester, MA",42.2625932,-71.8022934,וואוסטער,,,,,,Prenum - Torat Yisrael,,,,,Worcester,name_exact,coords,B_review,0.85,True,,8894,Worcester (Mass.),ווסטר (מסצ'וסטס),1.0,8894|9116|9119
US-00155,"Worcester, MA",42.2625932,-71.8022934,ווארקעסטער,,,,,,Prenum - Otzar HaTorah,,,,,Worcester,name_exact,coords,B_review,0.85,True,,8894,Worcester (Mass.),ווסטר (מסצ'וסטס),1.0,8894|9116|9119
US-00159,"Lawrence, MA",42.7070354,-71.1631137,לארענס,,,,,,Prenum - Haruzei Margaliyot,,,,,Lawrence,name_exact,coords,B_review,0.85,True,,6388,Lawrence (Mass.),לורנס (מסצ'וסטס),0.0,6388|9438|19129
