yiddish	occ	fields	proposed_qid	proposed_label	wikidata_desc	kima_fuzzy	recommendation
מערב-גאַליציע	13	province					needs identification
ניו יאָרקער	6	province;venues				|cand:32	CHECK Kima fuzzy
מעליטאָפּאָל	5	settlements				|cand:13647	CHECK Kima fuzzy
מערבגאַליציע	5	country;province					needs identification
נאָליציע	4	province					needs identification
פּויקן	4	countries;country				|cand:89609|7856|11506	CHECK Kima fuzzy
מיטלאַזיע	3	place;settlements					needs identification
פינסקער געגנט	3	province					needs identification
בעסעראַביע	2	place;province				|cand:1775	CHECK Kima fuzzy
בערדיאָנסק	2	settlements				|cand:12834	CHECK Kima fuzzy
גאָליזיע	2	province					needs identification
דאָנבאַס	2	place;settlements				|cand:1115	CHECK Kima fuzzy
די פֿאַראייניקטע שטאָטן	2	countries;venues					needs identification
דעמבאָ	2	place;settlements					needs identification
דענעמאַרק	2	countries				|cand:76600|6281	CHECK Kima fuzzy
דרוםאַמעריקע	2	countries;venues					needs identification
האַנאָווער בונקער	2	place;venues					needs identification
האָליוואוד סעמעטערי	2	place					needs identification
וואַרש. קרייז	2	province					needs identification
וואָרליסט	2	settlements					needs identification
וויניצער געגנט	2	province					needs identification
וויען-ברין	2	settlements					needs identification
וועלדל רומבולע	2	place;province					needs identification
ווענסרוסלאַנד	2	country					needs identification
זשאָלקיעוו	2	settlements				|cand:1703	CHECK Kima fuzzy
טויטן לאַגער	2	place					needs identification
טרעבלינקאַ	2	place					needs identification
טשעכאָסלאָוואַקיע	2	countries;venues					needs identification
יידישן שפּיטאָל	2	place;venues					needs identification
לאַגער אולינורמען	2	place;venues					needs identification
מאָלדאָוויע	2	province;settlements				|cand:9587|4747|17740	CHECK Kima fuzzy
נעזשניווקע	2	place;settlements					needs identification
סאָוועט-רוסלאַנד	2	countries				|cand:9562	CHECK Kima fuzzy
סטעטען איילאַנד	2	province					needs identification
פ. ס. ס. ר.	2	countries					needs identification
פּאָניאַטאָוו	2	settlements				|cand:82223	CHECK Kima fuzzy
פּויליש-רוסלאַנד	2	country;province					needs identification
קאָוונער ליטע	2	province;venues					needs identification
קעלצער קרייז	2	province					needs identification
ראַטן-רוסלאַנד	2	countries;venues					needs identification
ראָטנפֿאַרבאַנד	2	countries					needs identification
רומפֿולער וואַלד	2	place;province					needs identification
פֿאַרייניקטע שטאָטן	2	countries					needs identification
אונגערן	1	countries				|cand:7547	CHECK Kima fuzzy
באַרקאָוו	1	settlements				|cand:17274|8380	CHECK Kima fuzzy
בוענאָס אַרעס	1	settlements				|cand:70597|7921|9397|510	CHECK Kima fuzzy
בוענאָס-איידעס	1	settlements				|cand:510	CHECK Kima fuzzy
בעסאַרביע	1	province				|cand:1775	CHECK Kima fuzzy
בראַנוויל	1	settlements				|cand:6566	CHECK Kima fuzzy
בראַנווילער	1	settlements				|cand:6566	CHECK Kima fuzzy
גאָליליציע	1	province				|cand:1473	CHECK Kima fuzzy
גדאַנסק	1	settlements				|cand:920|71433|84475|11813	CHECK Kima fuzzy
גראָזני	1	settlements				|cand:73852	CHECK Kima fuzzy
דליטע	1	country				|cand:12464	CHECK Kima fuzzy
דרעזען	1	settlements				|cand:71881|26123|627	CHECK Kima fuzzy
האַרטעם	1	settlements				|cand:7211	CHECK Kima fuzzy
האָראָדענקאָ	1	settlements				|cand:332	CHECK Kima fuzzy
היידעלבערג	1	settlements				|cand:88402|10485	CHECK Kima fuzzy
וואַשילישאָק	1	settlements				|cand:20018	CHECK Kima fuzzy
ווייטעבּסק	1	settlements				|cand:8459|942	CHECK Kima fuzzy
ווייטעבסק	1	settlements				|cand:8459|942	CHECK Kima fuzzy
וולאָדאַווע	1	settlements				|cand:15948|9453|77175	CHECK Kima fuzzy
וועליש	1	settlements				|cand:18374	CHECK Kima fuzzy
וועסרוסלאַנד	1	country				|cand:4490	CHECK Kima fuzzy
זאַגער	1	settlements				|cand:3620|20915|16486	CHECK Kima fuzzy
זשאַלודאָק	1	settlements				|cand:22180	CHECK Kima fuzzy
טאָראַָטאָ	1	settlements				|cand:84175|87892|75477|74717|7719	CHECK Kima fuzzy
טאוואָרעק	1	settlements				|cand:19908|18268	CHECK Kima fuzzy
טעקסאַס	1	province				|cand:9623	CHECK Kima fuzzy
יאָראָסלאָוול	1	settlements				|cand:9670	CHECK Kima fuzzy
כודאָפּעסט	1	settlements				|cand:513	CHECK Kima fuzzy
כוקאָרעסט	1	settlements				|cand:656	CHECK Kima fuzzy
לאָזאַן	1	settlements				|cand:83371|181|20303|2530|20968	CHECK Kima fuzzy
לובליז	1	settlements				|cand:174|7264|90041	CHECK Kima fuzzy
