kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance
20435	Olʹhopilʹ (Ukraine)	אלעפאליע	אלעפאליע	1	Fischer	Fischer:UA-00754	coord_rearbitrated
20436	Golčův Jeníkov (Czech Republic)	יאניקוי	יאניקוי	1	Fischer	Fischer:CZ-00011	exact_geoverified
20436	Golčův Jeníkov (Czech Republic)	יאנעקויא	יאנעקויא	1	Fischer	Fischer:CZ-00011	exact_geoverified
20436	Golčův Jeníkov (Czech Republic)	יאנקויא	יאנקויא	1	Fischer	Fischer:CZ-00011	exact_geoverified
20436	Golčův Jeníkov (Czech Republic)	יעניקוי	יעניקוי	1	Fischer	Fischer:CZ-00011	exact_geoverified
20436	Golčův Jeníkov (Czech Republic)	יעניקויא	יעניקויא	1	Fischer	Fischer:CZ-00011	exact_geoverified
20436	Golčův Jeníkov (Czech Republic)	יענקויא	יענקויא	1	Fischer	Fischer:CZ-00011	exact_geoverified
2044	Rhodes (Greece : Island)	אי דוריש	אידוריש	1	Fischer	Fischer:GR-00015	exact_geoverified
2044	Rhodes (Greece : Island)	דוריש	דוריש	1	Fischer	Fischer:GR-00015	exact_geoverified
2044	Rhodes (Greece : Island)	רדוש	רדוש	1	Fischer	Fischer:GR-00015	exact_geoverified
2044	Rhodes (Greece : Island)	רודיש	רודיש	1	Fischer	Fischer:GR-00015	exact_geoverified
20445	Fiorenzuola d'Arda (Italy)	פירצולי	פירצולי	1	Fischer	Fischer:IT-00097	exact_geoverified
20447	Wesel (Germany)	וועזל	וועזל	1	Fischer	Fischer:DE-01271	exact_geoverified
20447	Wesel (Germany)	וועזעל	וועזעל	1	Fischer	Fischer:DE-01271	exact_geoverified
20447	Wesel (Germany)	וועסל	וועסל	1	Fischer	Fischer:DE-01271	exact_geoverified
20454	Aizpute (Latvia)	האזין פוט	האזיןפוט	1	Fischer	Fischer:LV-00011	exact_geoverified
20454	Aizpute (Latvia)	האזנפאט	האזנפאט	1	Fischer	Fischer:LV-00011	exact_geoverified
20454	Aizpute (Latvia)	האזענפוט	האזענפוט	1	Fischer	Fischer:LV-00011	exact_geoverified
20456	Bohorodchany (Ukraine)	באהאראדטשין	באהאראדטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	באהראדיטשין	באהראדיטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	באהראדשין	באהראדשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	באהריטשין	באהריטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בוהורודצ'אני	בוהורודצאני	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראדטשין	בראדטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראדשיען	בראדשיען	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראדשן	בראדשן	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראדשען	בראדשען	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראטשין	בראטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	בראטשען	בראטשען	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	ברעטשין	ברעטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	פאהריטשין	פאהריטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20456	Bohorodchany (Ukraine)	פאריטשין	פאריטשין	1	Fischer	Fischer:UA-00027	exact_geoverified
20463	Shumsʹk (Ukraine)	שויסק	שויסק	1	Fischer	Fischer:UA-00498	coord_rearbitrated
20465	Lubliniec (Województwo Śląskie, Poland)	לובליניטץ	לובליניטץ	1	Fischer	Fischer:PL-00959	exact_geoverified
20465	Lubliniec (Województwo Śląskie, Poland)	לובליניץ	לובליניץ	1	Fischer	Fischer:PL-00959	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	וולאדיסלאווא	וולאדיסלאווא	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	וולאדיסלאוואוו	וולאדיסלאוואוו	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	"נ""ש שירווינט"	נששירווינט	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	נייאשטאדט	נייאשטאדט	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	נייסטאדט	נייסטאדט	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	ניישטאט-שירווינד	ניישטאטשירווינד	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	ניישטאט-שירווינדט	ניישטאטשירווינדט	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	ניישטאט-שירווינט	ניישטאטשירווינט	1	Fischer	Fischer:LT-00099 | Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	ניישטאט-שערווענד	ניישטאטשערווענד	1	Fischer	Fischer:LT-00099	exact_geoverified
20470	Kudirkos Naumiestis (Lithuania)	נישטאט שאקי	נישטאטשאקי	1	Fischer	Fischer:LT-00099 | Fischer:LT-00099	exact_geoverified
20479	Sterdyń (Poland)	סטערדין	סטערדין	1	Fischer	Fischer:PL-00139	exact_geoverified
20479	Sterdyń (Poland)	עסטערדין	עסטערדין	1	Fischer	Fischer:PL-00139	exact_geoverified
20494	Halmeu (Romania)	האלמין	האלמין	1	Fischer	Fischer:RO-00070	exact_geoverified
20494	Halmeu (Romania)	העלמין	העלמין	1	Fischer	Fischer:RO-00070	exact_geoverified
20499	Wintzenheim (France)	ווינצנהיים	ווינצנהיים	1	Fischer	Fischer:FR-00219	exact_geoverified
20516	Zduny (Kalisz, Poland)	זדון	זדון	1	Fischer	Fischer:PL-01106	exact_geoverified
20519	Anykščiai (Lithuania)	אַנעשישאָק	אנעשישאק	1	Zylbercweig	Zylbercweig:Q505416	2-facs_322_tr_1744365731
20519	Anykščiai (Lithuania)	אניקסט	אניקסט	1	Fischer	Fischer:LT-00129	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	אוזיערני	אוזיערני	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	אוזירנע	אוזירנע	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	אזערנא	אזערנא	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	אזערני	אזערני	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	איזער נא	איזערנא	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	ייז'יירנה	ייזיירנה	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	יעזיערנע	יעזיערנע	1	Fischer	Fischer:UA-00134	exact_geoverified
20523	Ozerna (Ternopilʹsʹka oblastʹ, Ukraine)	יעזשערנע	יעזשערנע	1	Fischer	Fischer:UA-00134	exact_geoverified
20524	Boryspilʹ (Ukraine)	באריספאל	באריספאל	1	Fischer	Fischer:UA-00753	coord_rearbitrated
20524	Boryspilʹ (Ukraine)	בארישפאליע	בארישפאליע	1	Fischer	Fischer:UA-00753	coord_rearbitrated
20525	Šid (Serbia)	שיד	שיד	1	Fischer	Fischer:RS-00031	exact_geoverified
20530	Tal'ne (Ukraine)	טאַלנע	טאלנע	1	Zylbercweig	Zylbercweig:Q219593	2-facs_32_tr_1744131393
