verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
NO_WD_PLACE	1	סעוואַסטאָפּאָל	Q7525	Sevastopolʹ (Ukraine)		
NO_WD_PLACE	1	בערלאד	Q335868	Bîrlad (Romania)		
NO_WD_PLACE	1	קאָלאָמעא	Q52193	Kolomyi︠a︡ (Ukraine)		
NO_WD_PLACE	1	סאַראַטאָוו	Q5332	Saratov (Russia)		
NO_WD_PLACE	1	נאָשעלסק	Q1579038	Nasielsk (Poland)		
NO_WD_PLACE	1	ניו-הייווען	Q49145	New Haven (Conn.)		
NO_WD_PLACE	1	סטאָניסלאַוואוו	Q156726	Stanislav (Ukraine)		
NO_WD_PLACE	1	ראטשעסטער	Q49218	Rochester (N.Y.)		
NO_WD_PLACE	1	פּעטערסאַן	Q138391	Paterson (N.J.)		
NO_WD_PLACE	1	א'י	Q1724334	Ay (France : Canton)		
NO_WD_PLACE	1	סימפּעראָפּאָל	Q19566	Simferopol (Ukraine)		
NO_WD_PLACE	1	טאַראַנטע	Q172	Toronto (Ont.)		
NO_WD_PLACE	1	מיינינגען	Q487278	Meiningen (Germany)		
NO_WD_PLACE	1	אָדעססאַ	Q1874	Odesa (Ukraine)		
NO_WD_PLACE	1	פֿילאדעלפֿייע	Q1345	Philadelphia (Pa.)		
NO_WD_PLACE	1	מאָסקווא	Q649	Moscow (Russia)		
NO_WD_PLACE	1	לאָנראָן	Q84	London (England)		
NO_WD_PLACE	1	פּעטראָגראד	Q656	Saint Petersburg (Russia)		
NO_WD_PLACE	1	לעמבערנ	Q36036	Lʹviv (Ukraine)		
NO_WD_PLACE	1	אָדעססא	Q1874	Odesa (Ukraine)		
NO_WD_PLACE	1	ווירצבורג	Q2999	Würzburg (Germany)		
NO_WD_PLACE	1	קאָנסטאָנטינאָפּאָל	Q406	Istanbul (Turkey)		
NO_WD_PLACE	1	קאָמענעץ-פּאָדאָלסק	Q193965	Kam'i︠a︡net︠s︡ʹ-Podilʹsʹkyĭ (Ukraine)		
NO_WD_PLACE	1	ניויאָָרק	Q60	New York (N.Y.)		
NO_WD_PLACE	1	ב. א.	Q1486	Buenos Aires (Argentina)		
NO_WD_PLACE	1	פּרעסבורג	Q1780	Bratislava (Slovakia)		
NO_WD_PLACE	1	לעמערג	Q36036	Lʹviv (Ukraine)		
NO_WD_PLACE	1	שאַוועל	Q134712	Šiauliai (Lithuania)		
NO_WD_PLACE	1	סאַן פּאַולאָ	Q174	São Paulo (Brazil)		
NO_WD_PLACE	1	ל. א.	Q65	Los Angeles (Calif.)		
NO_WD_PLACE	1	ראַטשעסטער	Q49218	Rochester (N.Y.)		
NO_WD_PLACE	1	פלאַנסק	Q270656	Płońsk (Poland)		
NO_WD_PLACE	1	פּעטערסאָן	Q138391	Paterson (N.J.)		
AGREE	544	וואַרשע	Q270	Warsaw (Poland)	Q270	capital and largest city of Poland
AGREE	316	ניו יאָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	302	ווילנע	Q216	Vilnius (Lithuania)	Q216	capital and largest city of Lithuania
AGREE	177	אָדעס	Q1874	Odesa (Ukraine)	Q1874	city in southwestern Ukraine, administrative cen
AGREE	170	לאָדזש	Q580	Łódź (Poland)	Q580	city in Łódź Voivodeship in central Poland
AGREE	165	לעמבערג	Q36036	Lʹviv (Ukraine)	Q36036	capital city of Lviv Oblast in western Ukraine
AGREE	162	קיעוו	Q1899	Kiev (Ukraine)	Q1899	capital and largest city of Ukraine
AGREE	150	ניו-יאָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	142	לאָנדאָן	Q84	London (England)	Q84	capital and largest city of England and the Unit
AGREE	111	מאָסקווע	Q649	Moscow (Russia)	Q649	capital and most populous city of Russia
AGREE	90	בערלין	Q64	Berlin (Germany)	Q64	federated state, capital and largest city of Ger
AGREE	80	מינסק	Q2280	Minsk (Belarus)	Q2280	capital and largest city of Belarus
AGREE	72	אַרגענטינע	Q414	Argentina	Q414	country in South America
AGREE	69	פּעטערבורג	Q656	Saint Petersburg (Russia)	Q656	federal city and former capital of Russia
AGREE	67	לאָס אַנדזשעלעס	Q65	Los Angeles (Calif.)	Q65	seat of Los Angeles County, and largest city in 
AGREE	60	ריגע	Q1773	Riga (Latvia)	Q1773	capital and largest city of Latvia
AGREE	59	שיקאַגאָ	Q1297	Chicago (Ill.)	Q1297	city and county seat of Cook County, and largest
AGREE	59	קראָקע	Q31487	Krakow (Poland)	Q31487	capital city of Lesser Poland Voivodeship in sou
AGREE	53	קאָוונע	Q4115712	Kaunas (Lithuania)	Q4115712	city and administrative center of Kaunas County 
AGREE	52	בעסאַראַביע	Q174994	Bessarabia (Moldova and Ukraine)	Q174994	historical region in present-day Moldova and Ukr
AGREE	49	טשערנאָוויץ	Q157725	Chernivt︠s︡i (Ukraine)	Q157725	capital city of Chernivtsi Oblast in western Ukr
AGREE	43	פּאַריז	Q90	Paris (France)	Q90	capital and most populous city in France
AGREE	41	ליטע	Q37	Lithuania	Q37	country in northeastern Europe
AGREE	41	פֿילאַדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	41	בוקאַרעסט	Q19660	Bucharest (Romania)	Q19660	capital and largest city of Romania
AGREE	37	באָסטאָן	Q100	Boston (Mass.)	Q100	capital and largest city of Massachusetts, Unite
AGREE	35	אָרגענטינע	Q414	Argentina	Q414	country in South America
AGREE	35	קליוולאַנד	Q37320	Cleveland (Ohio)	Q37320	city in and county seat of Cuyahoga County, Ohio
AGREE	33	בוענאָס איירעס	Q1486	Buenos Aires (Argentina)	Q1486	capital and largest city of Argentina
AGREE	33	ביאַליסטאָק	Q761	Białystok (Poland)	Q761	city and capital of Podlaskie Voivodeship in eas
AGREE	32	פאַריז	Q90	Paris (France)	Q90	capital and most populous city in France
AGREE	32	לובלין	Q37333	Lublin (Poland)	Q37333	capital of Lublin Voivodeship in eastern Poland
AGREE	29	ברוקלין	Q18419	Brooklyn (New York, N.Y.)	Q18419	borough of New York City, New York, United State
AGREE	29	יאָסי	Q46852	Iași (Romania)	Q46852	city and seat of Iași County in the historical r
AGREE	27	לעטלאַנד	Q211	Latvia	Q211	sovereign state in northeastern Europe
AGREE	25	בעסאַראָביע	Q174994	Bessarabia (Moldova and Ukraine)	Q174994	historical region in present-day Moldova and Ukr
AGREE	25	גראָדנע	Q181376	Hrodna (Belarus)	Q181376	city in Belarus, capital of Hrodna Region
AGREE	22	בוקאַרעשט	Q19660	Bucharest (Romania)	Q19660	capital and largest city of Romania
AGREE	22	שיקאָגאָ	Q1297	Chicago (Ill.)	Q1297	city and county seat of Cook County, and largest
AGREE	21	פֿילאָדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	20	דרום-אפריקע	Q258	South Africa	Q258	country in southern Africa
AGREE	18	קעשענעוו	Q21197	Chișinău (Moldova)	Q21197	capital of Moldova
AGREE	17	ישראל	Q801	Israel	Q801	country in West Asia
AGREE	13	טשענסטאָכאָוו	Q103217	Częstochowa (Poland)	Q103217	city in the Silesian Voivodeship, Poland
AGREE	13	מעקסיקאָ	Q1489	Mexico City (Mexico)	Q96	country in North America
AGREE	12	יאָס	Q46852	Iași (Romania)	Q46852	city and seat of Iași County in the historical r
AGREE	11	ירושלים	Q1218	Jerusalem (Israel)	Q1218	city in the Middle East, holy to the three Abrah
AGREE	11	לאָדזש	Q580	Łódź (Poland)	Q580	city in Łódź Voivodeship in central Poland
AGREE	11	תל-אביב	Q33935	Tel Aviv-Yafo (Israel)	Q33935	city in Israel
AGREE	11	טאָראַנטאָ	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	11	לאָס-אַנדזשעלעס	Q65	Los Angeles (Calif.)	Q65	seat of Los Angeles County, and largest city in 
AGREE	10	דאַנציג	Q1792	Gdańsk (Poland)	Q1792	city and capital of the Pomeranian Voivodeship o
AGREE	10	באַקו	Q9248	Baku (Azerbaijan)	Q9248	capital of Azerbaijan
AGREE	10	באָלטימאָר	Q5092	Baltimore (Md.)	Q5092	city in Maryland, United States
AGREE	10	בערדיטשעוו	Q158799	Berdychiv (Ukraine)	Q158799	town and administrative center of the Berdychivs
AGREE	10	ניו יאָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	9	בראַזיל	Q155	Brazil	Q155	country in South America
AGREE	9	פינסק	Q204150	Pinsk (Belarus)	Q204150	city in Brest region, Belarus
AGREE	9	וויניצע	Q157144	Vinnyt︠s︡i︠a︡ (Ukraine)	Q157144	capital city of Vinnytsia Oblast in western Ukra
AGREE	9	מילוואָקי	Q37836	Milwaukee (Wis.)	Q37836	city in and county seat of Milwaukee County, and
AGREE	8	פּשעמישל	Q208473	Przemyśl (Poland)	Q208473	city in southeastern Poland
AGREE	8	וויטעבסק	Q102217	Vitsebsk (Belarus)	Q102217	city in Belarus
AGREE	8	בעלץ	Q37801	Bălți (Moldova)	Q37801	city in Moldova
AGREE	8	בוענאָס-איירעס	Q1486	Buenos Aires (Argentina)	Q1486	capital and largest city of Argentina
AGREE	8	פֿילאָדעלפֿיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	7	פּאָדאָליע	Q191607	Podillia (Ukraine)	Q191607	historic region in Eastern Europe
AGREE	7	באָברויסק	Q207294	Babruĭsk (Belarus)	Q207294	city in Belarus
AGREE	7	שווייץ	Q39	Switzerland	Q39	country in Central Europe
AGREE	7	קאָלאָמיי	Q52193	Kolomyi︠a︡ (Ukraine)	Q52193	city of Ukraine
AGREE	7	בריסק	Q140147	Brest (Belarus)	Q140147	city of Belarus, capital of Brest Region
AGREE	7	באַלטימאָר	Q5092	Baltimore (Md.)	Q5092	city in Maryland, United States
AGREE	6	יאַסי	Q46852	Iași (Romania)	Q46852	city and seat of Iași County in the historical r
AGREE	6	מיאמי	Q8652	Miami (Fla.)	Q8652	city in Miami-Dade County, Florida, United State
AGREE	6	מעץ	Q22690	Metz (France)	Q22690	city in Grand Est, France
AGREE	6	ריישע	Q598	Rzeszów (Poland)	Q598	city in Poland
AGREE	6	וואַרשאַ	Q270	Warsaw (Poland)	Q270	capital and largest city of Poland
AGREE	5	ניו יאָָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	5	ארגענטינע	Q414	Argentina	Q414	country in South America
AGREE	5	פּאָלטאָווע	Q156747	Poltava (Ukraine)	Q156747	capital city of Poltava Oblast in central Ukrain
AGREE	5	פּאָלטאַווע	Q156747	Poltava (Ukraine)	Q156747	capital city of Poltava Oblast in central Ukrain
AGREE	5	ראַדאָם	Q104740	Radom (Województwo Mazowieckie, Poland)	Q104740	city in east-central Poland (Masovian Voivodeshi
AGREE	5	טאָראָנטאָ	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	5	טאַרנאָפּאָל	Q156743	Ternopilʹ (Ukraine)	Q156743	city of Ternopil Oblast, Ukraine
AGREE	5	סלאָנים	Q863576	Slonim (Belarus)	Q863576	city in Belarus
AGREE	5	אַנטווערפן	Q12892	Antwerp (Belgium)	Q12892	municipality in the province of Antwerp, Belgium
AGREE	5	לאָס אָנדזשעלעס	Q65	Los Angeles (Calif.)	Q65	seat of Los Angeles County, and largest city in 
AGREE	5	יפו	Q180294	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	southern and oldest part of Tel Aviv
AGREE	4	באָקו	Q9248	Baku (Azerbaijan)	Q9248	capital of Azerbaijan
AGREE	4	ראָוונע	Q156739	Rivne (Rivnensʹka oblastʹ, Ukraine)	Q156739	city in western Ukraine
AGREE	4	פילאַדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	4	יאסי	Q46852	Iași (Romania)	Q46852	city and seat of Iași County in the historical r
AGREE	4	בענדין	Q461513	Będzin (Poland)	Q461513	city and urban gmina in the Dąbrowa Basin (the L
AGREE	4	אַרץ ישראל	Q155321	Eretz Israel	Q23792	geographic region in West Asia
AGREE	4	שיקאָגאַ	Q1297	Chicago (Ill.)	Q1297	city and county seat of Cook County, and largest
AGREE	4	USA	Q30	United States	Q30	country located primarily in North America
AGREE	4	תל אביב	Q33935	Tel Aviv-Yafo (Israel)	Q33935	city in Israel
AGREE	4	ארץ ישראל	Q155321	Eretz Israel	Q23792	geographic region in West Asia
AGREE	4	לייפּציג	Q2079	Leipzig (Germany)	Q2079	largest city in Saxony, Germany
AGREE	4	בראָד	Q465104	Brody (Ukraine)	Q465104	city in the Lviv Oblast, Ukraine
AGREE	4	וואַשינגטאָן	Q61	Washington (D.C.)	Q61	capital city of the United States of America
AGREE	4	בוקאָרעסט	Q19660	Bucharest (Romania)	Q19660	capital and largest city of Romania
AGREE	4	באָלטימאַר	Q5092	Baltimore (Md.)	Q5092	city in Maryland, United States
AGREE	4	פילאדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	4	יעליסאַוועטגראָד	Q158292	Kirovohrad (Ukraine)	Q158292	city in central Ukraine, administrative center o
AGREE	3	טאָמאַשאָוו	Q911009	Tomaszów Lubelski (Poland)	Q911009	city and urban gmina of Poland
AGREE	3	פּלאָצק	Q104725	Płock (Poland)	Q104725	city with powiat rights of Poland
AGREE	3	טאַראַנטאָ	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	3	וויטעבּסק	Q102217	Vitsebsk (Belarus)	Q102217	city in Belarus
AGREE	3	מינכן	Q1726	Munich (Germany)	Q1726	capital and most populous city of Bavaria, Germa
AGREE	3	יאָהאַנעסבורג	Q34647	Johannesburg (South Africa)	Q34647	largest city in South Africa
AGREE	3	באלטימאָר	Q5092	Baltimore (Md.)	Q5092	city in Maryland, United States
AGREE	3	האַמבורג	Q1055	Hamburg (Germany)	Q1055	city and state in the North of Germany
AGREE	3	וואַרשא	Q270	Warsaw (Poland)	Q270	capital and largest city of Poland
AGREE	3	בריסל	Q239	Brussels (Belgium)	Q239	municipality and capital city of Belgium
AGREE	3	טיפליס	Q994	Tʻbilisi (Georgia)	Q994	capital and the largest city of Georgia (country
AGREE	3	מאַנטשעסטער	Q18125	Manchester (England)	Q18125	city in Greater Manchester, England
AGREE	3	יאַס	Q46852	Iași (Romania)	Q46852	city and seat of Iași County in the historical r
AGREE	3	בוענאָס-אַיירעס	Q1486	Buenos Aires (Argentina)	Q1486	capital and largest city of Argentina
AGREE	3	ניו-יאָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	3	לאדזש	Q580	Łódź (Poland)	Q580	city in Łódź Voivodeship in central Poland
AGREE	3	ניוּ-יאָרק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	3	בערן	Q70	Bern (Switzerland)	Q70	city in Switzerland, capital of the canton of Be
AGREE	2	לאַנדאָן	Q84	London (England)	Q84	capital and largest city of England and the Unit
AGREE	2	סטרי	Q158923	Stryĭ (Ukraine)	Q158923	city in Ukraine
AGREE	2	קרעמעניץ	Q849116	Kremenets (Ukraine)	Q849116	city and raion capital in Ternopil Oblast in wes
AGREE	2	פילאָדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	2	וואָלאָזשין	Q200876	Valozhyn (Belarus)	Q200876	city in Belarus
AGREE	2	לאָדז	Q580	Łódź (Poland)	Q580	city in Łódź Voivodeship in central Poland
AGREE	2	סאַנטיאגאָ	Q2887	Santiago (Chile)	Q2887	capital city of Chile
AGREE	2	ברעסלוי	Q1799	Wrocław (Poland)	Q1799	city in the Lower Silesian Voivodeship, southwes
AGREE	2	אַנטווערפּן	Q12892	Antwerp (Belgium)	Q12892	municipality in the province of Antwerp, Belgium
