verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
AGREE	1	פֿילאַדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	1	קלויזענבורג	Q100188	Cluj-Napoca (Romania)	Q100188	city and seat of Cluj County in northwestern Rom
AGREE	1	קאָלאַראַש	Q1014367	Călărași (Moldova : Raionul)	Q1014367	city in Moldova
AGREE	1	ביירוט	Q3820	Beirut (Lebanon)	Q3820	capital and largest city of Lebanon
AGREE	1	שאַנכיי	Q8686	Shanghai (China)	Q8686	provincial-level municipality in China
AGREE	1	לינץ	Q41329	Linz (Austria)	Q41329	capital city of Upper Austria, Austria
AGREE	1	פֿראַנקפורט	Q1794	Frankfurt am Main (Germany)	Q1794	most populated city of Hesse, Germany
AGREE	1	לבוב	Q36036	Lʹviv (Ukraine)	Q36036	capital city of Lviv Oblast in western Ukraine
AGREE	1	אַטלאַנטיק סיטי	Q139564	Atlantic City (N.J.)	Q139564	city in Atlantic County, New Jersey, United Stat
AGREE	1	לאָמזשע	Q215633	Łomża (Poland)	Q215633	City with powiat rights of Poland
AGREE	1	לוד	Q207540	Lod (Israel)	Q207540	city in Israel
AGREE	1	בוענאָס אַיירעס	Q1486	Buenos Aires (Argentina)	Q1486	capital and largest city of Argentina
AGREE	1	טעלז	Q2222616	Telšiai (Lithuania)	Q2222616	city in Lithuania
AGREE	1	נחלת יצחק	Q2906653	Nahalat Yits'hak (Tel Aviv-Yafo, Israel)	Q7186324	Jewish municipal burial ground in the Tel Aviv D
AGREE	1	ראָסיין	Q658562	Raseiniai (Lithuania)	Q658562	city in Lithuania
AGREE	1	ריאָ	Q8678	Rio de Janeiro (Brazil)	Q8678	city of Rio de Janeiro state, Brazil
AGREE	1	קווינס	Q18424	Queens (New York, N.Y.)	Q18424	borough in New York City, New York, United State
AGREE	1	קרית גת	Q152406	Kiryat Gat (Israel)	Q152406	city in Israel
AGREE	1	קליוולאנד	Q37320	Cleveland (Ohio)	Q37320	city in and county seat of Cuyahoga County, Ohio
AGREE	1	תל-אָביב	Q33935	Tel Aviv-Yafo (Israel)	Q33935	city in Israel
AGREE	1	כפר חבד	Q2570492	Kefar Habad (Israel)	Q2570492	human settlement in Israel
AGREE	1	קאָוועל	Q156704	Kovelʹ (Ukraine)	Q156704	city of regional significance of Ukraine
AGREE	1	בויסק	Q498256	Bauska (Latvia)	Q498256	city and capital of Bauska Municipality, Latvia
AGREE	1	ביראָבידזשאָן	Q7769	Birobidzhan (Russia)	Q7769	town and administrative center of the Jewish Aut
AGREE	1	ווארשע	Q270	Warsaw (Poland)	Q270	capital and largest city of Poland
AGREE	1	קורסק	Q3159	Kursk (Russia)	Q3159	city in the south-west of Russia
AGREE	1	פּראָג	Q1085	Prague (Czech Republic)	Q1085	capital city of the Czech Republic
AGREE	1	באַזעל	Q78	Basel (Switzerland)	Q78	city on the Rhine in Switzerland
AGREE	1	ניו-יארק	Q60	New York (N.Y.)	Q60	most populous city in the United States
AGREE	1	ברין	Q14960	Brno (Czech Republic)	Q14960	city in the Czech Republic
AGREE	1	מיר	Q922668	Mir (Belarus)	Q922668	urban-type settlement in Belarus
AGREE	1	זכרון יעקב	Q198399	Zikhron Ya'akov (Israel)	Q198399	town and local council in Haifa District, Israel
AGREE	1	ווילנאַ	Q216	Vilnius (Lithuania)	Q216	capital and largest city of Lithuania
AGREE	1	בית אל	Q430939	Bet El (West Bank)	Q3876767	biblical place
AGREE	1	קרית אונו	Q152501	Kiryat Ono (Israel)	Q152501	city in the Tel Aviv District of Israel
AGREE	1	סיביר	Q5428	Siberia (Russia)	Q5428	region of Asia
AGREE	1	גראדנע	Q181376	Hrodna (Belarus)	Q181376	city in Belarus, capital of Hrodna Region
AGREE	1	חדרה	Q471886	Hadera (Israel)	Q471886	city in the Haifa District, Israel
AGREE	1	האָליוואוּד	Q34006	Hollywood (Los Angeles, Calif.)	Q34006	neighborhood in Los Angeles, California, United 
AGREE	1	בּוּקאַרעסט	Q19660	Bucharest (Romania)	Q19660	capital and largest city of Romania
AGREE	1	בוּענאָס-איירעס	Q1486	Buenos Aires (Argentina)	Q1486	capital and largest city of Argentina
AGREE	1	באָטאָשאן	Q178855	Botosani (Romania)	Q178855	city in Botoșani County, Romania
AGREE	1	לין	Q49188	Lynn (Mass.)	Q49188	city in Essex County, Massachusetts, United Stat
AGREE	1	אַמסטערדאַם	Q727	Amsterdam (Netherlands)	Q727	capital and most populous city of the Netherland
AGREE	1	קאַליש	Q52842	Kalisz (Poland)	Q52842	City with powiat rights of Poland
AGREE	1	פאָדגורזע	Q2553877	Podgorze (Krakow, Poland)	Q2553877	former city, former quarter of Kraków, Poland
AGREE	1	טשערנאוויץ	Q157725	Chernivt︠s︡i (Ukraine)	Q157725	capital city of Chernivtsi Oblast in western Ukr
AGREE	1	טאַרנאַפּאָל	Q156743	Ternopilʹ (Ukraine)	Q156743	city of Ternopil Oblast, Ukraine
AGREE	1	יעליסאַוועטגראד	Q158292	Kirovohrad (Ukraine)	Q158292	city in central Ukraine, administrative center o
AGREE	1	Boston	Q311975	Boston (England)	Q100	capital and largest city of Massachusetts, Unite
AGREE	1	ווילנא	Q216	Vilnius (Lithuania)	Q216	capital and largest city of Lithuania
AGREE	1	פֿילאדעלפיע	Q1345	Philadelphia (Pa.)	Q1345	largest city in Pennsylvania, United States
AGREE	1	באׁסטאָן	Q100	Boston (Mass.)	Q100	capital and largest city of Massachusetts, Unite
AGREE	1	לייפציג	Q2079	Leipzig (Germany)	Q2079	largest city in Saxony, Germany
AGREE	1	טאָׁראָנטאָ	Q172	Toronto (Ont.)	Q172	capital and largest city of the province of Onta
AGREE	1	סאָראָקע	Q853785	Soroca (Moldova)	Q853785	Moldovan city situated on the Dniester river
AGREE	1	דווינסק	Q80021	Daugavpils (Latvia)	Q80021	state city in south-eastern Latvia
AGREE	1	פֿאָלטאַווע	Q156747	Poltava (Ukraine)	Q156747	capital city of Poltava Oblast in central Ukrain
AGREE	1	יבנה	Q167677	Yavne (Israel)	Q167677	city in Israel
AGREE	1	שיקאגאָ	Q1297	Chicago (Ill.)	Q1297	city and county seat of Cook County, and largest
AGREE	1	ציריך	Q72	Zurich (Switzerland)	Q72	most populous city in Switzerland and capital of
AGREE	1	ברדיטשוב	Q158799	Berdychiv (Ukraine)	Q158799	town and administrative center of the Berdychivs
AGREE	1	האָמבורג	Q1055	Hamburg (Germany)	Q1055	city and state in the North of Germany
