source_value	qid	kima_id	kima_rom	kima_heb
אַטלאַנטיק סיטי	Q139564	712	Atlantic City (N.J.)	אטלנטיק סיטי (ניו ג'רזי)
כאָרבין	Q42956	321	Harbin (China)	חרבין (סין)
זוויעניגראָדקאָ	Q219836	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)
אָשוויענטשים	Q7342	11759	Oświęcim (Poland)	אושויץ (פולין)
אשוויענטשים	Q7342	11759	Oświęcim (Poland)	אושויץ (פולין)
אָסוויענטשים	Q7342	11759	Oświęcim (Poland)	אושויץ (פולין)
לאָמזשע	Q215633	156	Łomża (Poland)	לומזה (פולין)
האַמעל	Q2678	10963	Homelʹ (Belarus)	הומל (בלארוס)
זלאַטשעוו	Q2010577	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)
סאַנדאָוו ווישניאַ	Q1026911	13173	Sudova Vyshni︠a︡ (Ukraine)	סונדובה וישניא (אוקראינה)
לופץ	Q974468	16161	Li︠u︡bomlʹ (Ukraine)	לובומל (אוקראינה)
קאָנאַטאָפּ	Q162083	17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)
זלאָטשעוו	Q2010577	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)
טאוסט	Q2919316	19256	Tovste (Ternopilʹsʹka oblastʹ, Ukraine)	טלוסטה (אוקראינה)
קאַלושיין	Q987160	18019	Kałuszyn (Warsaw, Poland)	קאלושין (ורשה, פולין)
קאַנאַטאָפּ	Q162083	17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)
קאָלנע	Q1614791	13492	Kolno (Łomża, Poland)	קולנה (לומז'ה, פולין)
קוטנע	Q202160	384	Kutno (Poland)	קוטנו (פולין)
אַסטראָפּאָליע	Q997429	19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)
כאָטין	Q45883	16674	Khotyn (Ukraine)	חוטין (אוקראינה)
זבאַראָוו	Q1019899	12047	Zbaraz︠h︡ (Ternopilʹsʹka oblastʹ, Ukraine)	זברז' (אוקראינה)
טשאַרטקאָוו	Q148473	18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)
זשיראַרדאָוו	Q393251	11623	Żyrardów (Poland)	ז'ירדוב (פולין)
מלאָוואַ	Q983868	241	Mława (Poland)	מלוה (פולין)
ראָדזימין	Q609246	18483	Radzymin (Poland)	רדזימין (פולין)
רואיזנא	Q615132	20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)
קאָלאָמעאָ	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)
אַלענטאָן	Q142811	7381	Allentown (Pa.)	אלנטאון (פנסילבניה)
קאָלאָמעאַ	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)
האָמעל	Q2678	10963	Homelʹ (Belarus)	הומל (בלארוס)
טשאָרטקאָוו	Q148473	18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)
בענדער	Q192176	622	Bender (Moldova)	בנדרי (מולדובה)
וולאַצלאָוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)
וואָסילקאָוו	Q997421	18640	Vasylʹkiv (Ukraine)	ואסילקיב (אוקראינה)
בערלאָד	Q335868	649	Bîrlad (Romania)	בירלד (רומניה)
זשיראָרדאָוו	Q393251	11623	Żyrardów (Poland)	ז'ירדוב (פולין)
אָנטאָפּאָל	Q608888	659	Antopalʹ (Belarus)	אנטופול (בלארוס)
לאָוויטש	Q109992	13898	Łowicz (Poland)	לוביץ' (פולין)
גאָלדינגען	Q155281	14895	Kuldīga (Latvia)	קולדיגה (לטביה)
האַרבי	Q42956	321	Harbin (China)	חרבין (סין)
קאָלאָמעא	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)
סקאָלע	Q913962	17382	Skole (Ukraine)	סקולה (אוקראינה)
שעראָדז	Q745074	14700	Sieradz (Poland)	שייראדז (פולין)
זוועניגאָראָדקע	Q219836	23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)
טיראָספּאָל	Q132572	628	Tiraspol (Moldova)	טירספול (מולדובה)
מלאָוואָ	Q983868	241	Mława (Poland)	מלוה (פולין)
קוטנאָ	Q202160	384	Kutno (Poland)	קוטנו (פולין)
זעמבין	Q2061031	27064	Zembin (Belarus)	זמבין (בלארוס)
סאַראַקי	Q853785	63	Soroca (Moldova)	סורוקה (מולדובה)
מאָהילעוו	Q154835	10965	Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)
אָלט-קאָנסטאָנטיין	Q997429	19134	Starokosti︠a︡ntyniv (Ukraine)	סטארוקוסטיאנטיניב (אוקראינה)
קאָלבושאָוו	Q991797	17514	Kolbuszowa (Poland)	קולבושובה (פולין)
וולאצלאַוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)
זלאטשעוו	Q2010577	18969	Zolochiv (Kharkivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז חרקיב, אוקראינה)
וולאָצלאַוועק	Q106681	15730	Włocławek (Poland)	ולוצלאווק (פולין)
