yiddish	qid	kima_id	kima_rom	kima_heb	lat	lon	label_en	occurrences	fields
וואַרשע	Q270	953	Warsaw (Poland)	ורשה (פולין)	52.23	21.0111111111111		544	country;province;settlements
אַמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	419	countries;place;settlements;venues
ניו יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		316	countries;settlements;venues
ווילנע	Q216	943	Vilnius (Lithuania)	וילנה (ליטא)	54.6872222222222	25.28		302	province;settlements
אָדעס	Q1874	740	Odesa (Ukraine)	אודסה (אוקראינה)	46.47747	30.73262		177	settlements;venues
לאָדזש	Q580	179	Łódź (Poland)	לודז' (פולין)	51.75	19.466666666667		170	province;settlements
לעמבערג	Q36036	166	Lʹviv (Ukraine)	לבוב (אוקראינה)	49.8425	24.0322222222222		165	province;settlements;venues
קיעוו	Q1899	958	Kiev (Ukraine)	קייב (אוקראינה)	50.45	30.523611111111		162	province;settlements
ניו-יאָרק	Q60	32	New York (N.Y.)	ניו יורק (נ.י.)	40.7	-74.0		150	settlements
ווין	Q1741	945	Vienna (Austria)	וינה (אוסטריה)	48.2083333333333	16.3725		149	settlements
לאָנדאָן	Q84	688	London (England)	לונדון (אנגליה)	51.507222222222	-0.1275		142	province;settlements
אַמעריקע	Q30	6421	United States	ארצות הברית	39.828175	-98.5795	America	125	countries;place;settlements;venues
מאָסקווע	Q649	188	Moscow (Russia)	מוסקבה (רוסיה)	55.755833333333	37.617777777778		111	province;settlements;venues
בערלין	Q64	578	Berlin (Germany)	ברלין (גרמניה)	52.516666666667	13.383333333333		90	province;settlements
מינסק	Q2280	248	Minsk (Belarus)	מינסק (בלארוס)	53.902246	27.561837		80	settlements
אַרגענטינע	Q414	7805	Argentina	ארגנטינה	-34.0	-64.0	Argentina	72	countries;settlements;venues
פּעטערבורג	Q656	678	Saint Petersburg (Russia)	פטרבורג (רוסיה)	59.95	30.316666666667		69	settlements
לאָס אַנדזשעלעס	Q65	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	34.05223	-118.24368		67	settlements;venues
