verdict	occ	severity	yiddish	linked_qid	linked_label	wd_top_place	wd_top_desc
NO_WD_PLACE	1	STRONG	נ. י.	Q1384	New York (State)		
NO_WD_PLACE	1	STRONG	אויפֿן וועג קיין יעליסאַוועטגראָד	Q158292	Kirovohrad (Ukraine)		
NO_WD_PLACE	1	STRONG	באַהיע	Q36947	Salvador (Brazil)		
NO_WD_PLACE	1	STRONG	זשדאַנאָוו	Q37133	Mariupolʹ (Ukraine)		
NO_WD_PLACE	1	STRONG	מאָגילעוו	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)		
NO_WD_PLACE	1	STRONG	לוואָוו [לעמבערגער]	Q36036	Lʹviv (Ukraine)		
NO_WD_PLACE	1	STRONG	פרונזע	Q9361	Bishkek (Kyrgyzstan)		
NO_WD_PLACE	1	STRONG	לאָדזשער געטאָ	Q327895	Litzmannstadt-Getto (Łódź, Poland)		
NO_WD_PLACE	1	STRONG	בראַנקסער שפּיטאָל	Q60	New York (N.Y.)		
NO_WD_PLACE	1	STRONG	ווראָצלאַוו (ברעסלוי)	Q1799	Wrocław (Poland)		
NO_WD_PLACE	1	STRONG	סימפּעראָפּאל	Q43421	Richmond (Va.)		
NO_WD_PLACE	1	STRONG	רעזישטשעוו	Q71731	Rz︠h︡yshchiv (Ukraine)		
NO_WD_PLACE	1	STRONG	מאָהילעוו אויפֿן דניעסטער	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)		
NO_WD_PLACE	1	STRONG	פּראַגע וואַרשע	Q270	Warsaw (Poland)		
NO_WD_PLACE	1	STRONG	אַסטראָפּאָליע	Q997429	Starokosti︠a︡ntyniv (Ukraine)		
NO_WD_PLACE	1	STRONG	טרייסק	Q1022993	Phillipsburg (Kan.)		
NO_WD_PLACE	1	STRONG	בריסק-דליטאָ	Q140147	Brest (Belarus)		
NO_WD_PLACE	1	STRONG	אָמעייקע	Q30	United States		
NO_WD_PLACE	1	STRONG	יעקאַטערינאָזלאָוו	Q48256	Dnipro (Ukraine)		
NO_WD_PLACE	1	STRONG	מעזשירעוו	Q1022485	Medz︠h︡ybiz︠h︡ (Ukraine)		
NO_WD_PLACE	1	STRONG	טישמיעניץ	Q973977	Abbirim (Israel)		
NO_WD_PLACE	1	STRONG	אָמע'קע	Q30	United States		
NO_WD_PLACE	1	STRONG	יעקאָטערינאָסלאָוו	Q48256	Dnipro (Ukraine)		
NO_WD_PLACE	1	STRONG	יאָסי ראָמאַן אָדער גאָלאַץ	Q46852	Iași (Romania)		
NO_WD_PLACE	1	STRONG	יאָסי אָדער ראָמאַן	Q46852	Iași (Romania)		
NO_WD_PLACE	1	STRONG	דומעניע	Q218	Romania		
NO_WD_PLACE	1	STRONG	ראַרויווילאָוו	Q1020069	Radyvyliv (Ukraine)		
NO_WD_PLACE	1	STRONG	אָלט-קאָנסטאָנטיין	Q997429	Starokosti︠a︡ntyniv (Ukraine)		
NO_WD_PLACE	1	STRONG	לאָדזש אָדער פּיעטריקאָוו	Q580	Łódź (Poland)		
NO_WD_PLACE	1	STRONG	פֿאָלטיטשען אָדער בוקאַרעסט	Q192265	Focsani (Romania)		
NO_WD_PLACE	1	STRONG	שטשעזשעץ	Q393	Szczecin (Poland)		
NO_WD_PLACE	1	STRONG	אַנעשישאָק	Q505416	Anykščiai (Lithuania)		
NO_WD_PLACE	1	STRONG	קאָנסטאַנטינאָגראָד	Q1104739	Krasnohrad (Ukraine)		
NO_WD_PLACE	1	STRONG	מאָהיליעוו אויפֿן דניעפר	Q154835	Mahili︠o︡ŭ (Belarus)		
NO_WD_PLACE	1	STRONG	מאָהילעוו ביים דניעפר	Q154835	Mahili︠o︡ŭ (Belarus)		
NO_WD_PLACE	1	STRONG	אַלעקסאַנדראָווסק	Q157835	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)		
NO_WD_PLACE	1	STRONG	אַלעיאָוו	Q913143	Olevsk (Ukraine)		
NO_WD_PLACE	1	STRONG	רזשעקאַ	Q598	Rzeszów (Poland)		
