source_value	english_name	wikidata_yi	WikidataQID	resolved_category	entry_id	context
קאָזיאַטיין	Kozyatyn			unmatched	2-facs_402_tr_1744366863	burial
שטוטהאָף	Stutthof concentration camp			unmatched	5-facs_202_tr_1739221568	burial
דאָבראַ וואָלאַ	Dobra Wola			unmatched	5-facs_341_tr_1739222058	burial
מעזשיבעזש	Medzhibozh			unmatched	6-facs_392_r	burial
אַטלאַנטיק סיטי	Atlantic City			unmatched	4-facs_138_tr_1754224987	death
טעראָספּאָל	Tiraspol			unmatched	1-facs_260_tr_1741260279	death
כאָרבין	Harbin			unmatched	1-facs_301_tr_1741260452	death
ביעלאַ-צערקאָוו	Bila Tserkva			unmatched	1-facs_363_r_9	death
קאָזיאַטיין	Kozyatyn			unmatched	1-facs_91_tr_1740521127	death
כאָרבין	Harbin			unmatched	1-facs_201_tr_1741260327	death
זוויעניגראָדקאָ	Zvenyhorodka			unmatched	2-facs_273_tr_1744280704	death
קאָזיאַטיין	Kozyatyn			unmatched	2-facs_402_tr_1744366863	death
קאָנצענטראַציע-לאַגער קלאָאָגאָ	Klooga			unmatched	3-facs_338_tr_1756106571	death
מאידאַנעק	Majdanek			unmatched	5-facs_64_tr_1733059339	death
מאַידאַנעק	Majdanek			unmatched	5-facs_93_tr_1733059467	death
מאידאַנעק	Majdanek			unmatched	5-facs_111_tr_1733832758	death
אומשלאַג-פּלאַץ	Umschlagplatz			unmatched	5-facs_124_tr_1733832663	death
אָשוויענטשים	Auschwitz			unmatched	5-facs_153_tr_1735652603	death
מאידאַנעק	Majdanek			unmatched	5-facs_158_tr_1735652602	death
אשוויענטשים	Auschwitz			unmatched	5-facs_175_tr_1736588953	death
מאידאַנעק	Majdanek			unmatched	5-facs_179_tr_1736589024	death
יאַנאָווער לאַגער	Janowska concentration camp			unmatched	5-facs_180_tr_1736588912	death
יאַנאָווער לאַגער	Janowska concentration camp			unmatched	5-facs_192_tr_1736589024	death
שטוטהאָף	Stutthof concentration camp			unmatched	5-facs_202_tr_1739221568	death
יאַנאָווער לאַגער	Janowska concentration camp			unmatched	5-facs_217_tr_1739220726	death
אָסוויענטשים	Auschwitz			unmatched	5-facs_225_tr_1739222150	death
מאידאַנעק	Majdanek			unmatched	5-facs_255_tr_1739220788	death
קלאַגע	Klooga			unmatched	5-facs_264_tr_1739221900	death
קלאַגע	Klooga			unmatched	5-facs_278_tr_1739220808	death
מאידאַנעק	Majdanek			unmatched	5-facs_281_tr_1739220612	death
דאָבראַ וואָלאַ	Dobra Wola			unmatched	5-facs_341_tr_1739222058	death
לאַגער קלאַגע	Klooga concentration camp			unmatched	5-facs_346_tr_1739220500	death
לאַגער קלאַגע	Klooga concentration camp			unmatched	5-facs_348_tr_1739220923	death
אשוויענטשים	Auschwitz			unmatched	5-facs_371_tr_1739222499	death
אומשלאַג-פּלאַץ	Umschlagplatz			unmatched	5-facs_436_tr_1739220741	death
אָשוויענטשים	Auschwitz			unmatched	5-facs_439_tr_1739220587	death
קאָנצענטראַציע-לאַגער קלאָאָגאָ	Klooga			unmatched	5-facs_445_tr_1739221346	death
מאידאַנעק	Majdanek			unmatched	5-facs_485_r	death
אשוויענטשים	Auschwitz			unmatched	5-facs_509_tr_1739221079	death
אשוויענטשים	Auschwitz			unmatched	5-facs_560_tr_1739220846	death
אשוויענטשים	Auschwitz			unmatched	5-facs_568_tr_1739221639	death
מיידאַנעק	Majdanek			unmatched	5-facs_570_tr_1739221417	death
מיידאַנעק	Majdanek			unmatched	5-facs_589_tr_1739220611	death
אַטלאַנטיק סיטי	Atlantic City			unmatched	6-facs_28_r_2	death
לאָמזשע	Łomża			unmatched	6-facs_210_tr_1747928994	death
מעזשיבעזש	Medzhibozh			unmatched	6-facs_392_r	death
האַמעל	Homiel			unmatched	7-facs_63_r_4	death
זלאַטשעוו	Zolochiv			unmatched	7-facs_73_r	death
סאַנדאָוו ווישניאַ	Sudova Vyshnia			unmatched	4-facs_91_tr_1753602024	birth
לופץ	Luboml			unmatched	4-facs_99_r_2	birth
קאָנאַטאָפּ	Konotop			unmatched	4-facs_102_r_1	birth
בוטענקאָווע	Butenkovoe			unmatched	4-facs_115_tr_1753936446	birth
זלאָטשעוו	Zolochiv			unmatched	4-facs_252_tr_1754998536	birth
ליפּנע	Lipne			unmatched	4-facs_269_tr_1754998524	birth
