maaty_qid	label_en	label_yi	place_type	kima_id	kima_rom	kima_heb	basis
Q1002685	Stawiszyn (Poland)			23800	Stawiszyn (Poland)	סטאווישין (פולין)	kima_wikidata
Q1020069	Radyvyliv (Ukraine)			1724	Radyvyliv (Ukraine)	רדזיווילוב (אוקראינה)	kima_wikidata
Q1022485	Medz︠h︡ybiz︠h︡ (Ukraine)			17325	Medz︠h︡ybiz︠h︡ (Ukraine)	מז'יבוז' (אוקראינה)	kima_wikidata
Q1026911	Sudova Vyshni︠a︡ (Ukraine)			13173	Sudova Vyshni︠a︡ (Ukraine)	סונדובה וישניא (אוקראינה)	kima_wikidata
Q1026920	Stebliv		Q4100864				wikidata_p31_place
Q1026945	Tovste		Q4100864				wikidata_p31_place
Q106281	Tarnów (Poland)			765	Tarnów (Poland)	טרנוב (פולין)	kima_wikidata
Q1150271	Edineț (Moldova)			23788	Edineț (Moldova)	אדינץ (מולדובה)	kima_wikidata
Q11874	Zvolen (Slovakia)			11609	Zvolen (Slovakia)	זבולן (סלובקיה)	kima_wikidata
Q1268711	Dykanka		Q4100864;Q486972				wikidata_p31_place
Q128214910	Leivonmäki village		Q61492541;Q18691318;Q378636				wikidata_p31_place
Q132572	Tiraspol (Moldova)			628	Tiraspol (Moldova)	טירספול (מולדובה)	kima_wikidata
Q134712	Šiauliai (Lithuania)			298	Šiauliai (Lithuania)	שול (ליטא)	kima_wikidata
Q140671	Ostroh (Ukraine)			633	Ostroh (Ukraine)	אוסטרהא (אוקראינה)	kima_wikidata
Q148473	Chortkiv (Ukraine)			18410	Chortkiv (Ukraine)	צ'ורטקוב (אוקראינה)	kima_wikidata
Q148923	Borshchiv	באָרשטשעוו	Q12131624				wikidata_p31_place
Q149173	Sokyriany		Q12131624;Q2514025;Q2989457;Q532				wikidata_p31_place
Q154607	Warsaw Ghetto	וואַרשע געטא	Q2583015;Q124126697				wikidata_p31_place
Q154835	Mahili︠o︡ŭ (Belarus)			10965	Mahili︠o︡ŭ (Belarus)	מוהילב (בלארוס)	kima_wikidata
Q155281	Kuldīga (Latvia)			14895	Kuldīga (Latvia)	קולדיגה (לטביה)	kima_wikidata
Q156820	Nadvirna (Ukraine)			1640	Nadvirna (Ukraine)	נדבורנה (אוקראינה)	kima_wikidata
Q15914	Ruše		Q515				wikidata_p31_place
Q162083	Konotop (Sumsʹka oblastʹ, Ukraine)			17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)	kima_wikidata
Q1746788	Toporów		Q3558970				wikidata_p31_place
Q18537031	Burdujeni		Q123705				wikidata_p31_place
Q18642589	Łowicz Ghetto		Q2583015				wikidata_p31_place
Q1939758	Rusnė		Q486972				wikidata_p31_place
Q202160	Kutno (Poland)			384	Kutno (Poland)	קוטנו (פולין)	kima_wikidata
Q2069079	Międzyrzec Podlaski Ghetto	מעזריטש געטא	Q2583015				wikidata_p31_place
Q215633	Łomża (Poland)			156	Łomża (Poland)	לומזה (פולין)	kima_wikidata
Q219762	Volochysʹk (Ukraine)			87880	Volochysʹk (Ukraine)	וולוצ'יסק (אוקראינה)	kima_wikidata
Q219836	Zvenyhorodka (Ukraine)			23182	Zvenyhorodka (Ukraine)	זבניגורודקה (אוקראינה)	kima_wikidata
Q219856	Horodok		Q12131624				wikidata_p31_place
Q2422842	Janowska concentration camp		Q328468;Q152081				wikidata_p31_place
Q2438640	Pașcani		Q532;Q4413925				wikidata_p31_place
Q250485	Sochaczew (Poland)			18416	Sochaczew (Poland)	סוכטשוב (פולין)	kima_wikidata
Q2629630	Sataniv		Q4100864;Q121366249				wikidata_p31_place
Q2678	Homelʹ (Belarus)			10963	Homelʹ (Belarus)	הומל (בלארוס)	kima_wikidata
Q2788497	Babtai		Q3957				wikidata_p31_place
Q33342	Bila T︠S︡erkva (Ukraine)			350	Bila T︠S︡erkva (Ukraine)	בילה צרקווה (אוקראינה)	kima_wikidata
Q334874	Sighet (Romania)			99	Sighet (Romania)	סיגט (רומניה)	kima_wikidata
Q3500094	Papilė		Q486972				wikidata_p31_place
Q3646802	Bieniakoni		Q1989945				wikidata_p31_place
Q369383	Kozi︠a︡tyn (Vinnyt︠s︡ʹka oblastʹ, Ukraine)			73271	Kozi︠a︡tyn (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	קוזיאטין (מחוז ויניצה, אוקראינה)	kima_wikidata
Q369699	Olsztyn		Q515				wikidata_p31_place
Q390162	Huși		Q640364;Q515				wikidata_p31_place
Q395865	Stare Miasto, Pomeranian Voivodeship		Q3558970				wikidata_p31_place
Q40435	Buffalo (N.Y.)			361	Buffalo (N.Y.)	באפלו (ניו יורק)	kima_wikidata
Q4086068	Becheve		Q21672098				wikidata_p31_place
Q4122387	Bakoy		Q4285979				wikidata_p31_place
Q4137727	Antopol Ghetto		Q2583015				wikidata_p31_place
Q4171400	Dushatin		Q532				wikidata_p31_place
Q4178401	Zhvanets		Q21672098				wikidata_p31_place
Q4182537	Zabolotivka		Q21672098				wikidata_p31_place
Q4190971	Zembin Ghetto		Q2583015				wikidata_p31_place
Q4232525	Kopyl Ghetto	קאפוליע געטא	Q2583015				wikidata_p31_place
Q4262677	Lypne		Q21672098				wikidata_p31_place
Q4387829	Radomyshl		Q21672098				wikidata_p31_place
Q4441722	Stepanetske		Q486972				wikidata_p31_place
Q45883	Khotyn (Ukraine)			16674	Khotyn (Ukraine)	חוטין (אוקראינה)	kima_wikidata
Q4935817	Bobin, Lesser Poland Voivodeship		Q3558970				wikidata_p31_place
Q49359905			Q486972				wikidata_p31_place
Q5016803	Vyžuonos		Q486972				wikidata_p31_place
Q5207655	Dacian fortress of Moinești		Q5228121				wikidata_p31_place
Q532114	Botykapeterd		Q2590631				wikidata_p31_place
Q537928	Berlinți		Q532;Q4413925				wikidata_p31_place
Q570040	Władysławowo		Q3558970				wikidata_p31_place
Q578026	Kleszczele		Q515;Q486972				wikidata_p31_place
Q587155	Kolno		Q3558970				wikidata_p31_place
Q599542	Zhyvotivka		Q21672098				wikidata_p31_place
Q60498333	Sukharia		Q56436498				wikidata_p31_place
Q609246	Radzymin (Poland)			18483	Radzymin (Poland)	רדזימין (פולין)	kima_wikidata
Q615132	Ruzhany (Belarus)			20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)	kima_wikidata
Q623594	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)			1701	Zolochiv (Lʹvivsʹka oblastʹ, Ukraine)	זולוצ'יב (מחוז לביב, אוקראינה)	kima_wikidata
Q629648	Dobra Wola		Q3558970				wikidata_p31_place
Q6507691	Liubča		Q65661087				wikidata_p31_place
Q663764	Auschwitz II-Birkenau concentration camp		Q152081;Q153813;Q756102;Q210272				wikidata_p31_place
Q690039	Nowy Dwór Mazowiecki (Poland)			42	Nowy Dwór Mazowiecki (Poland)	נובי דבור מזוביצקי (פולין)	kima_wikidata
Q693998	Klooga concentration camp		Q152081				wikidata_p31_place
Q730929	Ostrowiec Świętokrzyski (Poland)			745	Ostrowiec Świętokrzyski (Poland)	אוסטרוביץ (פולין)	kima_wikidata
Q745074	Sieradz (Poland)			14700	Sieradz (Poland)	שייראדז (פולין)	kima_wikidata
Q760230	Prymorsk		Q7930989;Q12051488				wikidata_p31_place
Q7630230	Stępin		Q3558970				wikidata_p31_place
Q8081273	Łęczyca, West Pomeranian Voivodeship		Q3558970;Q486972				wikidata_p31_place
Q8304493	Senasis Daugėliškis		Q486972				wikidata_p31_place
Q841029	Izi︠a︡slav (Ukraine)			15851	Izi︠a︡slav (Ukraine)	איזיאסלב (אוקראינה)	kima_wikidata
