unlinked_id,label_yi,label_en,qid,lat,lon,occurrences,fields,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
U44,אוקראַאינע,,,,,36,countries;place;province;settlements;venues,no_match,,0.0,,,,,
U45,אָרגענטינע,Argentina,Q414,,,35,countries;settlements;venues,name_exact,wikidata,0.99,7805,Argentina,ארגנטינה,,
U46,פראַנקרייך,,,,,35,countries,no_match,,0.0,,,,,
U47,קליוולאַנד,,,,,35,settlements,name_exact,name_exact,0.95,402,Cleveland (Ohio),קליבלנד (אוהיו),,
U48,בוענאָס איירעס,,,,,33,province;settlements,name_exact,name_exact,0.95,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),,
U49,ביאַליסטאָק,,,,,33,province;settlements,name_exact,name_exact,0.95,523,Białystok (Poland),ביאליסטוק (פולין),,
U50,לובלין,,,,,32,province;settlements,name_exact,name_exact,0.95,174,Lublin (Poland),לובלין (פולין),,
U51,פאַריז,,,,,32,country;province;settlements,name_exact,name_exact,0.95,419,Paris (France),פריס (צרפת),,
U52,מינסקער גוב.,,,,,31,province,no_match,,0.0,,,,,
U53,קאַנאַדע,,,,,30,countries;venues,fuzzy,fuzzy,1.0,,,,,9228|13367|6476|17105|82156
U54,ברוקלין,,,,,29,province;settlements,name_exact,name_exact,0.95,529,"Brooklyn (New York, N.Y.)","ברוקלין (ניו יורק, נ.י.)",,
U55,יאָסי,,,,,29,settlements,name_exact,name_exact,0.95,669,Iași (Romania),יאסי (רומניה),,
U56,לעטלאַנד,,,,,27,countries;venues,name_exact,name_exact,0.95,9788,Latvia,לטביה,,
U57,שיקאַגע,,,,,27,settlements,name_exact,name_exact,0.95,282,Chicago (Ill.),שיקגו (אילינוי),,
U58,אוקראינע,,,,,25,countries;venues,fuzzy,fuzzy,0.714,,,,,9105|17492|2324|5826
U59,בעסאַראָביע,Bessarabia,Q189834,,,25,province;settlements;venues,name_exact,name_exact,0.95,1775,Bessarabia (Moldova and Ukraine),בסרביה (מולדובה-אוקראינה),,
U60,גראָדנע,,,,,25,settlements,name_exact,name_exact,0.95,882,Hrodna (Belarus),גרודנו (בלארוס),,
U61,ווייסרוסלאַנד,,,,,24,countries;province;venues,fuzzy,fuzzy,0.667,,,,,4490
U62,יידישן טעאַטער,,,,,24,venues,no_match,,0.0,,,,,
U63,בוקאַרעשט,,,,,22,settlements,name_exact,name_exact,0.95,656,Bucharest (Romania),בוקרסט (רומניה),,
U64,בוקאָווינע,,,,,22,province;venues,fuzzy,fuzzy,0.75,,,,,3056
U65,גאַליציע,,,,,22,countries;place;settlements;venues,fuzzy,fuzzy,0.833,,,,,1473|88778
U66,שיקאָגאָ,,,,,22,settlements,name_exact,name_exact,0.95,282,Chicago (Ill.),שיקגו (אילינוי),,
U67,אָמעריקע,America,Q30,,,21,countries;settlements;venues,name_exact,wikidata,0.99,6421,United States,ארצות הברית,,
U68,נ. י.,,,,,21,place;province;settlements;venues,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U69,פֿילאָדעלפיע,,,,,21,settlements,name_exact,name_exact,0.95,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),,
U70,דרום-אפריקע,South Africa,Q258,,,20,countries;place;settlements,name_exact,wikidata,0.99,2394,South Africa,דרום אפריקה,,
U71,יעקאַטערינאָסלאָוו,,,,,20,province;settlements,no_match,,0.0,,,,,
U72,גראָדנער גוב.,,,,,19,province,no_match,,0.0,,,,,
U73,זשיטאָמיר,,,,,19,settlements,no_match,,0.0,,,,,
U74,מדינת ישראל,,,,,19,countries;place;settlements,no_match,,0.0,,,,,
U75,אָדעם,,,,,18,settlements,no_match,,0.0,,,,,
U76,מזרחגאַליציע,,,,,18,province,no_match,,0.0,,,,,
U77,קעשענעוו,,,,,18,settlements,name_exact,name_exact,0.95,399,Chișinău (Moldova),קישינב (מולדובה),,
U78,קרעמענטשוג,,,,,18,settlements,fuzzy,fuzzy,0.583,,,,,13843
U79,ישראל,,,,,17,countries;venues,name_exact,name_exact,0.95,697,Israel,ישראל,,
U80,פּוילישליטע,,,,,17,countries;province,no_match,,0.0,,,,,
U81,בעלגיע,,,,,16,countries;place;venues,no_match,,0.0,,,,,
U82,גאָליציע,,,,,16,province;settlements,fuzzy,fuzzy,0.833,,,,,1473|88778
U83,פֿראַנקרייך,,,,,16,countries;venues,no_match,,0.0,,,,,
U84,ווילנער געטאָ,Vilna Ghetto,Q156859,,,15,settlements;venues,no_match,,0.0,,,,,
U85,אָרץ-ישראל,Land of Israel,Q23793,,,14,countries;settlements;venues,name_exact,name_exact,0.95,697,Israel,ישראל,,
U86,בראַנקס,Bronx,Q18426,,,14,addresses;settlements;venues,name_exact,name_exact,0.95,10787,"Bronx (New York, N.Y.)","ברונקס (ניו יורק, ניו יורק)",,
U87,וואָלינער גוב.,,,,,14,province,no_match,,0.0,,,,,
U88,קעשעניעוו,,,,,14,settlements,no_match,,0.0,,,,,
U89,אומאַן,,,,,13,settlements,no_match,,0.0,,,,,
U90,טשענסטאָכאָוו,,,,,13,settlements,name_exact,name_exact,0.95,427,Częstochowa (Poland),צ'נסטוחובה (פולין),,
U91,כערסאָן,,,,,13,province;settlements,fuzzy,fuzzy,1.0,,,,,78336|27161|11867|87704|720
U92,מעקסיקאָ,Mexico City,Q1489,,,13,countries;settlements,name_exact,wikidata,0.99,7033,Mexico City (Mexico),מקסיקו סיטי (מקסיקו),,
U93,מערב-גאַליציע,,,,,13,province,no_match,,0.0,,,,,
U94,סט. לואיס,,,,,13,settlements,name_exact,name_exact,0.95,109,Saint Louis (Mo.),סנט לואיס (מיזורי),,
U95,יאָס,,,,,12,settlements,name_exact,name_exact,0.95,669,Iași (Romania),יאסי (רומניה),,
U96,יו-עס-עי,,,,,12,countries,no_match,,0.0,,,,,
U97,קאָוונער גוב.,,,,,12,province,no_match,,0.0,,,,,
U98,קאָנסטאַנטינאָפּאָל,,,,,12,settlements,name_exact,name_exact,0.95,533,Istanbul (Turkey),איסטנבול (תורכיה),,
U99,אוקראַינע,,,,,11,countries,fuzzy,fuzzy,0.714,,,,,9105|17492|2324|5826
U100,בראָדוויי,,,,,11,venues,fuzzy,fuzzy,1.0,,,,,3864|570
U101,געטאָ,,,,,11,place;province;settlements;venues,no_match,,0.0,,,,,
U102,ווילנער גוב.,,,,,11,province,no_match,,0.0,,,,,
U103,טאָראַנטאָ,,,,,11,settlements,name_exact,name_exact,0.95,753,Toronto (Ont.),טורונטו (אונטריו),,
U104,יידישן מלוכה-טעאַטער,,,,,11,venues,no_match,,0.0,,,,,
U105,ירושלים,,,,,11,settlements,name_exact,name_exact,0.95,691,Jerusalem (Israel),ירושלים (ישראל),,
U106,כאָרבין,,,,,11,settlements,fuzzy,fuzzy,0.6,,,,,321
U107,לאָס-אַנדזשעלעס,,,,,11,settlements,name_exact,name_exact,0.95,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),,
U108,לובלינער געגנט,,,,,11,province,no_match,,0.0,,,,,
U109,לאָדזש,,,,,11,settlements;venues,name_exact,name_exact,0.95,179,Łódź (Poland),לודז' (פולין),,
U110,מאָהילעווער גוב.,,,,,11,province,no_match,,0.0,,,,,
U111,פּיטסבורג,,,,,11,settlements,fuzzy,fuzzy,1.0,,,,,76144|73409|87624|83456
U112,פראנקרייך,,,,,11,countries,no_match,,0.0,,,,,
U113,תל-אביב,,,,,11,settlements,name_exact,name_exact,0.95,272,Tel Aviv-Yafo (Israel),תל אביב-יפו (ישראל),,
U114,באַקו,Baku,Q9248,,,10,settlements,name_exact,wikidata,0.99,507,Baku (Azerbaijan),באקו (אזרביג'ן),,
U115,באָלטימאָר,,,,,10,settlements,name_exact,name_exact,0.95,515,Baltimore (Md.),בולטימור (מרילנד),,
U116,בערדיטשעוו,,,,,10,settlements,name_exact,name_exact,0.95,571,Berdychiv (Ukraine),ברדיצ'ב (אוקראינה),,
U117,בראַנזוויל,,,,,10,settlements;venues,no_match,,0.0,,,,,
U118,דאַנציג,,,,,10,settlements,name_exact,name_exact,0.95,920,Gdańsk (Poland),גדנסק (פולין),,
U119,הזמיר,,,,,10,venues,no_match,,0.0,,,,,
U120,ווייס-רוסלאַנד,,,,,10,countries;province,no_match,,0.0,,,,,
U121,ווילנער געגנט,,,,,10,province,no_match,,0.0,,,,,
U122,טלאָמאַצקע 13,,,,,10,addresses;venues,no_match,,0.0,,,,,
U123,יידישן טעאַטער,,,,,10,venues,no_match,,0.0,,,,,
U124,מאָנטרעאַל,,,,,10,settlements,fuzzy,fuzzy,1.0,,,,,19953|9750
U125,ניו יאָרק,,,,,10,settlements,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U126,קאָנסערוואַטאָריע,,,,,10,venues,no_match,,0.0,,,,,
U127,בודאָפּעסט,,,,,9,settlements,name_exact,name_exact,0.95,513,Budapest (Hungary),בודפסט (הונגריה),,
U128,בראַזיל,,,,,9,countries;place;venues,name_exact,name_exact,0.95,7255,Brazil,ברזיל,,
U129,גאַלאַץ,,,,,9,settlements,name_exact,name_exact,0.95,9622,Galați (Romania : Județ),גאלאץ (רומניה : מחוז),,
U130,דייטשלאנד,,,,,9,countries,no_match,,0.0,,,,,
U131,דעטראיט,,,,,9,settlements,name_exact,name_exact,0.95,903,Detroit (Mich.),דטרויט (מישיגן),,
U132,וואַרשעווער געגנט,,,,,9,province,no_match,,0.0,,,,,
U133,וויניפּעג,Winnipeg,Q2096,,,9,settlements,name_exact,wikidata,0.99,737,Edmonton (Alta.),אדמונטון (אלברטה),,
U134,וויניצע,,,,,9,settlements,name_exact,name_exact,0.95,946,Vinnyt︠s︡i︠a︡ (Ukraine),ויניצה (אוקראינה),,
U135,טשעכאָסלאָוואַקייע,,,,,9,countries;venues,no_match,,0.0,,,,,
U136,מאָנטרעאָל,,,,,9,settlements,fuzzy,fuzzy,1.0,,,,,19953|9750
U137,מאָסקווער,,,,,9,settlements,fuzzy,fuzzy,0.833,,,,,188|18655
U138,מילוואָקי,,,,,9,settlements,name_exact,name_exact,0.95,7493,Milwaukee (Wis.),מילווקי (ויסקונסין),,
U139,מילנע גאַס,,,,,9,addresses;venues,no_match,,0.0,,,,,
U140,פינסק,,,,,9,settlements,name_exact,name_exact,0.95,409,Pinsk (Belarus),פינסק (בלארוס),,
U141,קורלאַנד,,,,,9,province;settlements,name_exact,name_exact,0.95,3418,Courland (Latvia),קורלנד (לטביה),,
U142,בוענאָס-איירעס,,,,,8,settlements,name_exact,name_exact,0.95,510,Buenos Aires (Argentina),בואנוס איירס (ארגנטינה),,
U143,בעלץ,,,,,8,settlements,name_exact,name_exact,0.95,18584,Bălți (Moldova),בלץ (מולדובה),,
U144,וואַרשעווער,Warsaw,Q270,,,8,settlements;venues,name_exact,wikidata,0.99,953,Warsaw (Poland),ורשה (פולין),,
U145,וויטעבסק,,,,,8,settlements,name_exact,name_exact,0.95,942,Vitsebsk (Belarus),ויטבסק (בלארוס),,
U146,לאָדזשער געטאָ,Łódź Ghetto,Q204540,,,8,province;settlements;venues,name_exact,name_exact,0.95,27130,"Litzmannstadt-Getto (Łódź, Poland)","גיטו ליצמנשטט (לודז', פולין)",,
U147,לובלינער גוב.,,,,,8,province,no_match,,0.0,,,,,
U148,ליבאַווע,Liepāja,Q41159,,,8,settlements,name_exact,name_exact,0.95,679,Liepāja (Latvia),ליפאיה (לטביה),,
U149,נואַרק,,,,,8,settlements,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U150,פּשעמישל,,,,,8,province;settlements,name_exact,name_exact,0.95,424,Przemyśl (Poland),פשמישל (פולין),,
U151,קעלצער גוב.,,,,,8,province,no_match,,0.0,,,,,
U152,שטאָט-טעאַטער,,,,,8,venues,no_match,,0.0,,,,,
U153,פֿילאָדעלפֿיע,,,,,8,settlements,name_exact,name_exact,0.95,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),,
U154,ארץ-ישראל,Land of Israel,Q23793,,,7,countries;settlements,name_exact,name_exact,0.95,697,Israel,ישראל,,
U155,באַלטימאָר,,,,,7,settlements,name_exact,name_exact,0.95,515,Baltimore (Md.),בולטימור (מרילנד),,
U156,באָברויסק,,,,,7,settlements,name_exact,name_exact,0.95,512,Babruĭsk (Belarus),בוברויסק (בלארוס),,
U157,בריסק,,,,,7,settlements,name_exact,name_exact,0.95,576,Brest (Belarus),בריסק (בלארוס),,
U158,גראָדנער געגנט,,,,,7,province,no_match,,0.0,,,,,
U159,ווילנער,,,,,7,settlements;venues,fuzzy,fuzzy,0.8,,,,,943
U160,טאָליאַ-טעאַטער,,,,,7,venues,no_match,,0.0,,,,,
U161,טערקיי,,,,,7,countries;venues,fuzzy,fuzzy,1.0,,,,,87947|22136|3098|9499|17840
U162,כאָרקאָוו,,,,,7,settlements,name_exact,name_exact,0.95,8380,Kharkiv (Ukraine),חרקוב (אוקראינה),,
U163,כערסאָנער גוב.,,,,,7,province,no_match,,0.0,,,,,
U164,מינכען,Munich,Q1726,,,7,settlements,name_exact,wikidata,0.99,234,Munich (Germany),מינכן (גרמניה),,
U165,ניקאָלאַיעוו,Mykolaiv,Q131136,,,7,settlements,name_exact,name_exact,0.95,10962,"Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)","מיקולייב (מחוז מיקולייב, אוקראינה)",,
U166,סעקאָנד עוועניו,,,,,7,addresses;venues,no_match,,0.0,,,,,
U167,עלדאָראַדאָ,,,,,7,venues,fuzzy,fuzzy,1.0,,,,,20565|82718
U168,פּאָדאָליע,,,,,7,province,name_exact,name_exact,0.95,2226,Podillia (Ukraine),פודיליה (אוקראינה),,
U169,קאָלאָמיי,,,,,7,settlements,name_exact,name_exact,0.95,1674,Kolomyi︠a︡ (Ukraine),קולומיה (אוקראינה),,
U170,קיעווער גובערניע,,,,,7,province,no_match,,0.0,,,,,
U171,רוסיש-פּוילן,,,,,7,country;province,no_match,,0.0,,,,,
U172,שווייץ,,,,,7,countries;venues,name_exact,name_exact,0.95,7931,Switzerland,שווייץ,,
U173,אוניווערזיטעט,,,,,6,venues,no_match,,0.0,,,,,
U174,ביי וואַרשע,,,,,6,province,no_match,,0.0,,,,,
U175,בעסאָראָביע,,,,,6,province,fuzzy,fuzzy,0.667,,,,,1775
U176,בראָדי,,,,,6,province;settlements,name_exact,name_exact,0.95,677,Brody (Ukraine),ברודי (אוקראינה),,
U177,גימנאַזיע,,,,,6,venues,no_match,,0.0,,,,,
U178,האָמעל,Homel,Q66263,,,6,settlements,name_exact,name_exact,0.95,10963,Homelʹ (Belarus),הומל (בלארוס),,
U179,האָפּקינסאָן-טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U180,וואַרש. גוב.,,,,,6,province,no_match,,0.0,,,,,
U181,וואַרשאַ,Warsaw,Q270,,,6,settlements,name_exact,wikidata,0.99,953,Warsaw (Poland),ורשה (פולין),,
U182,טראַנסניסטריע,,,,,6,place;province,no_match,,0.0,,,,,
U183,טשערניגאָווער גוב.,,,,,6,place;province,no_match,,0.0,,,,,
U184,יאַסי,,,,,6,settlements,name_exact,name_exact,0.95,669,Iași (Romania),יאסי (רומניה),,
U185,יעקאַטערינאָסלאַוו,,,,,6,settlements,no_match,,0.0,,,,,
U186,ליריק טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U187,ליריק-טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U188,מיאמי,,,,,6,settlements,name_exact,name_exact,0.95,229,Miami (Fla.),מיאמי (פלורידה),,
U189,מינסקער געגנט,,,,,6,province,no_match,,0.0,,,,,
U190,מלוכה-טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U191,מעץ,Metz,Q22690,,,6,settlements,name_exact,wikidata,0.99,672,Metz (France),מץ (צרפת),,
U192,מערב-אייראָפּע,,,,,6,countries;venues,no_match,,0.0,,,,,
U193,ניו יאָרקער,,,,,6,province;venues,fuzzy,fuzzy,0.75,,,,,32
U194,ניויאָרק,,,,,6,settlements,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U195,סינסינעטי,,,,,6,settlements,name_exact,name_exact,0.95,7550,Cincinnati (Ohio),סינסינטי (אוהיו),,
U196,עגיפּטען,,,,,6,countries;venues,no_match,,0.0,,,,,
U197,פּוילישן טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U198,פוילן,,,,,6,countries,fuzzy,fuzzy,1.0,,,,,18688|72975|82988|13380|13905
U199,קיעוו. גוב.,,,,,6,province,no_match,,0.0,,,,,
U200,ראַדאָמער גוב.,,,,,6,province,no_match,,0.0,,,,,
U201,ריישע,,,,,6,settlements,name_exact,name_exact,0.95,451,Rzeszów (Poland),רישא (פולין),,
U202,שטאָט-טעאַטער,,,,,6,venues,no_match,,0.0,,,,,
U203,שיקאָנאַ,,,,,6,settlements,no_match,,0.0,,,,,
U204,אַנטווערפן,Antwerp,Q12892,,,5,settlements,name_exact,wikidata,0.99,643,Antwerp (Belgium),אנטורפן (בלגיה),,
U205,אויסטראַליע,,,,,5,countries,fuzzy,fuzzy,0.667,,,,,4929|6306|8607|4342|5919
U206,אונגאַרן,,,,,5,countries,fuzzy,fuzzy,1.0,,,,,7547
U207,אוקראָאינע,,,,,5,countries,no_match,,0.0,,,,,
U208,ארגענטינע,Argentina,Q414,,,5,countries;settlements,name_exact,wikidata,0.99,7805,Argentina,ארגנטינה,,
U209,ביי לאָדזש,,,,,5,province,no_match,,0.0,,,,,
U210,ביי לעמבערג,,,,,5,country;province,no_match,,0.0,,,,,
U211,בית עולם,,,,,5,place;venues,no_match,,0.0,,,,,
U212,גאליציע,,,,,5,province,fuzzy,fuzzy,0.833,,,,,1473|88778
U213,גימפּעלס טעאַטער,,,,,5,venues,no_match,,0.0,,,,,
U214,גענשער בית עולם,,,,,5,place,no_match,,0.0,,,,,
U215,ווינער,,,,,5,settlements;venues,no_match,,0.0,,,,,
U216,טאַרנאָפּאָל,,,,,5,settlements,name_exact,name_exact,0.95,11525,Ternopilʹ (Ukraine),טרנופול (אוקראינה),,
U217,טאַשקענט,,,,,5,settlements,no_match,,0.0,,,,,
U218,טאָראָנטאָ,,,,,5,settlements,name_exact,name_exact,0.95,753,Toronto (Ont.),טורונטו (אונטריו),,
U219,טשעכאָסלאָוואַקיי,,,,,5,countries,no_match,,0.0,,,,,
U220,טשעכיע,,,,,5,countries;venues,no_match,,0.0,,,,,
U221,יו עס עי,,,,,5,countries,no_match,,0.0,,,,,
U222,יפו,,,,,5,settlements,name_exact,name_exact,0.95,629,"Jaffa (Tel Aviv-Yafo, Israel)","יפו (תל אביב-יפו, ישראל)",,
U223,ישיבה,,,,,5,venues,fuzzy,fuzzy,0.6,,,,,20670
U224,כערסאָנער גובערניע,,,,,5,province,no_match,,0.0,,,,,
U225,לאָמזשער געגנט,,,,,5,province,no_match,,0.0,,,,,
U226,לאָס אַנדזשעלאָס,,,,,5,settlements,fuzzy,fuzzy,0.75,,,,,154
U227,לאָס אָנדזשעלעס,,,,,5,settlements,name_exact,name_exact,0.95,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),,
U228,לוואָוו,,,,,5,province;settlements,no_match,,0.0,,,,,
U229,ליבערטי-טעאַטער,,,,,5,venues,no_match,,0.0,,,,,
U230,ליבערטי-טעאַטער,,,,,5,venues,no_match,,0.0,,,,,
U231,לענינגראָד,,,,,5,settlements,name_exact,name_exact,0.95,678,Saint Petersburg (Russia),פטרבורג (רוסיה),,
U232,לעשנא 2,,,,,5,addresses,fuzzy,fuzzy,0.667,,,,,12801|139|2518
U233,מעליטאָפּאָל,Melitopol,Q156915,,,5,settlements,fuzzy,fuzzy,0.875,,,,,13647
U234,מערבגאַליציע,,,,,5,country;province,no_match,,0.0,,,,,
U235,ניו יאָָרק,,,,,5,province;settlements,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U236,סלאָנים,,,,,5,settlements,name_exact,name_exact,0.95,102,Slonim (Belarus),סלונים (בלארוס),,
U237,ענגלאנד,,,,,5,countries,fuzzy,fuzzy,1.0,,,,,4001|4114|4115|12708|1082
U238,פּאָד. גוב.,,,,,5,province,no_match,,0.0,,,,,
U239,פּאָלטאַווע,Poltava,Q125286,,,5,settlements,name_exact,name_exact,0.95,511,Poltava (Ukraine),פולטבה (אוקראינה),,
U240,פּאָלטאָווע,Poltava,Q125286,,,5,settlements,name_exact,name_exact,0.95,511,Poltava (Ukraine),פולטבה (אוקראינה),,
U241,פאַראייניקטע שטאַטן,,,,,5,countries,no_match,,0.0,,,,,
U242,קאַמינסקי-טעאַטער,,,,,5,venues,no_match,,0.0,,,,,
U243,קאָוונער געגנט,,,,,5,province,no_match,,0.0,,,,,
U244,קאָליפֿאָרניע,California,Q99,,,5,province;settlements,name_exact,wikidata,0.99,7652,California,קליפורניה,,
U245,קעניגסבערג,,,,,5,province;settlements,name_exact,name_exact,0.95,405,Kaliningrad (Russia),קלינינגרד (רוסיה),,
U246,ראַדאָם,,,,,5,settlements,name_exact,name_exact,0.95,636,"Radom (Województwo Mazowieckie, Poland)","ראדום (מדינת מזובייצק, פולין)",,
U247,רעדאַקציע,,,,,5,venues,no_match,,0.0,,,,,
U248,פֿילאָדעלפֿיער,,,,,5,settlements,fuzzy,fuzzy,0.889,,,,,408
U249,USA,,,,,4,countries,name_exact,name_exact,0.95,6421,United States,ארצות הברית,,
U250,אַרץ ישראל,,,,,4,countries,name_exact,name_exact,0.95,2501,Eretz Israel,ארץ ישראל,,
U251,אייראָפּע,,,,,4,countries;venues,no_match,,0.0,,,,,
U252,ארץ ישראל,,,,,4,countries,name_exact,name_exact,0.95,2501,Eretz Israel,ארץ ישראל,,
U253,באָלטימאַר,,,,,4,settlements,name_exact,name_exact,0.95,515,Baltimore (Md.),בולטימור (מרילנד),,
U254,באָקו,Baku,Q9248,,,4,settlements,name_exact,wikidata,0.99,507,Baku (Azerbaijan),באקו (אזרביג'ן),,
U255,בויערי,,,,,4,addresses;venues,no_match,,0.0,,,,,
U256,בוקאָרעסט,,,,,4,settlements,name_exact,name_exact,0.95,656,Bucharest (Romania),בוקרסט (רומניה),,
U257,בענדין,,,,,4,settlements,name_exact,name_exact,0.95,621,Będzin (Poland),בנדין (פולין),,
U258,בעסאַראביע,,,,,4,province,fuzzy,fuzzy,0.667,,,,,1775
