unlinked_id,label_yi,label_en,qid,lat,lon,occurrences,fields,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
U0,וואַרשע,,,,,544,country;province;settlements,name_exact,name_exact,0.95,953,Warsaw (Poland),ורשה (פולין),,
U1,פּוילן,,,,,481,countries;place;settlements;venues,fuzzy,fuzzy,1.0,,,,,18688|72975|82988|13380|13905
U2,אַמעריקע,America,Q30,,,419,countries;place;settlements;venues,name_exact,wikidata,0.99,6421,United States,ארצות הברית,,
U3,ניו יאָרק,,,,,316,countries;settlements;venues,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U4,ווילנע,,,,,302,province;settlements,name_exact,name_exact,0.95,943,Vilnius (Lithuania),וילנה (ליטא),,
U5,רומעניע,,,,,185,countries;settlements;venues,no_match,,0.0,,,,,
U6,אָדעס,,,,,177,settlements;venues,name_exact,name_exact,0.95,740,Odesa (Ukraine),אודסה (אוקראינה),,
U7,לאָדזש,,,,,170,province;settlements,name_exact,name_exact,0.95,179,Łódź (Poland),לודז' (פולין),,
U8,לעמבערג,,,,,165,province;settlements;venues,name_exact,name_exact,0.95,166,Lʹviv (Ukraine),לבוב (אוקראינה),,
U9,קיעוו,,,,,162,province;settlements,name_exact,name_exact,0.95,958,Kiev (Ukraine),קייב (אוקראינה),,
U10,ניו-יאָרק,,,,,150,settlements,name_exact,name_exact,0.95,32,New York (N.Y.),ניו יורק (נ.י.),,
U11,ווין,,,,,149,settlements,name_exact,name_exact,0.95,945,Vienna (Austria),וינה (אוסטריה),,
U12,לאָנדאָן,,,,,142,province;settlements,name_exact,name_exact,0.95,688,London (England),לונדון (אנגליה),,
U13,רוסלאַנד,,,,,140,countries;place;venues,fuzzy,fuzzy,1.0,,,,,85978|78550|9562|13084
U14,אַמעריקע,America,Q30,,,125,countries;place;settlements;venues,name_exact,wikidata,0.99,6421,United States,ארצות הברית,,
U15,מאָסקווע,,,,,111,province;settlements;venues,name_exact,name_exact,0.95,188,Moscow (Russia),מוסקבה (רוסיה),,
U16,פּויליש-ליטע,,,,,92,countries;province,no_match,,0.0,,,,,
U17,בערלין,,,,,90,province;settlements,name_exact,name_exact,0.95,578,Berlin (Germany),ברלין (גרמניה),,
U18,מינסק,,,,,80,settlements,name_exact,name_exact,0.95,248,Minsk (Belarus),מינסק (בלארוס),,
U19,אַרגענטינע,Argentina,Q414,,,72,countries;settlements;venues,name_exact,wikidata,0.99,7805,Argentina,ארגנטינה,,
U20,ענגלאַנד,,,,,71,countries;settlements;venues,fuzzy,fuzzy,1.0,,,,,4001|4114|4115|12708|1082
U21,פּעטערבורג,,,,,69,settlements,name_exact,name_exact,0.95,678,Saint Petersburg (Russia),פטרבורג (רוסיה),,
U22,לאָס אַנדזשעלעס,,,,,67,settlements;venues,name_exact,name_exact,0.95,154,Los Angeles (Calif.),לוס אנג'לס (קליפורניה),,
U23,דייטשלאַנד,,,,,65,countries;place;venues,no_match,,0.0,,,,,
U24,דעטראָיט,,,,,64,settlements,name_exact,name_exact,0.95,903,Detroit (Mich.),דטרויט (מישיגן),,
U25,אמעריקע,America,Q30,,,62,countries;settlements;venues,name_exact,wikidata,0.99,6421,United States,ארצות הברית,,
U26,ריגע,,,,,60,province;settlements,name_exact,name_exact,0.95,60,Riga (Latvia),ריגה (לטביה),,
U27,מזרח-גאַליציע,,,,,59,country;place;province;venues,no_match,,0.0,,,,,
U28,עסטרייך,,,,,59,countries;venues,fuzzy,fuzzy,1.0,,,,,71131|1743
U29,קראָקע,,,,,59,settlements,name_exact,name_exact,0.95,489,Krakow (Poland),קרקוב (פולין),,
U30,שיקאַגאָ,,,,,59,settlements,name_exact,name_exact,0.95,282,Chicago (Ill.),שיקגו (אילינוי),,
U31,כאַרקאָוו,,,,,58,settlements,name_exact,name_exact,0.95,8380,Kharkiv (Ukraine),חרקוב (אוקראינה),,
U32,קאָוונע,,,,,53,province;settlements,name_exact,name_exact,0.95,382,Kaunas (Lithuania),קובנה (ליטא),,
U33,בעסאַראַביע,Bessarabia,Q189834,,,52,place;province;settlements;venues,name_exact,name_exact,0.95,1775,Bessarabia (Moldova and Ukraine),בסרביה (מולדובה-אוקראינה),,
U34,טשערנאָוויץ,,,,,49,province;settlements,name_exact,name_exact,0.95,6918,Chernivt︠s︡i (Ukraine),צ'רנוביץ (אוקראינה),,
U35,וואַרשעווער געטאָ,Warsaw Ghetto,Q160122,,,43,province;settlements;venues,no_match,,0.0,,,,,
U36,וואָלין,,,,,43,country;province;venues,fuzzy,fuzzy,0.8,,,,,14072|14511|9826|80623
U37,פּאַריז,,,,,43,settlements,name_exact,name_exact,0.95,419,Paris (France),פריס (צרפת),,
U38,בוקאַרעסט,,,,,41,settlements,name_exact,name_exact,0.95,656,Bucharest (Romania),בוקרסט (רומניה),,
U39,ליטע,,,,,41,countries;province;settlements;venues,name_exact,name_exact,0.95,12464,Lithuania,ליטא,,
U40,קיעווער גוב.,,,,,41,province,no_match,,0.0,,,,,
U41,פֿילאַדעלפיע,,,,,41,settlements,name_exact,name_exact,0.95,408,Philadelphia (Pa.),פילדלפיה (פנסילבניה),,
U42,מעקסיקע,,,,,38,countries;place;settlements;venues,no_match,,0.0,,,,,
U43,באָסטאָן,,,,,37,settlements,name_exact,name_exact,0.95,516,Boston (Mass.),בוסטון (מסצ'וסטס),,
