yiddish	occ	fields	qid	label_en	desc	n_place_cands	source	grade
גאָליציע	16	province;settlements	Q180086	Galicia	historical and geographic region in western Ukraine and southern Poland	2	exact-but-multi:Q180086;Q2439514	B_review
פּיטסבורג	11	settlements	Q1342	Pittsburgh	city and county seat in Allegheny County, Pennsylvania, United States	2	exact-but-multi:Q1342;Q281248	B_review
גאליציע	5	province	Q180086	Galicia	historical and geographic region in western Ukraine and southern Poland	2	exact-but-multi:Q180086;Q2439514	B_review
ווינער	5	settlements;venues	Q131612	Wiener Neustadt	city in Lower Austria, Austria	1	yi:Q131612	B_review
כאָר	3	settlements;venues	Q42308	Kharkiv	capital city of Kharkiv Oblast in eastern Ukraine	1	yi:Q42308	B_review
טראַנסילוואַניע	2	province	Q39473	Transylvania	historical region in the northwestern part of Romania	1	yi:Q39473	B_review
מעהרען	2	place;province	Q43266	Moravia	historical land in the Czech Republic	1	yi:Q43266	B_review
פיטסבורג	2	settlements	Q1342	Pittsburgh	city and county seat in Allegheny County, Pennsylvania, United States	2	exact-but-multi:Q1342;Q281248	B_review
אַמעריקאַ	1	countries	Q8676	American Civil War	1861–1865 civil war in the United States between the North and the South over the enslavement of African-Americans	1	yi:Q8676	B_review
באַקוו	1	settlements	Q3632663	Backworth	village in Tyne and Wear, England, UK	1	yi:Q3632663	B_review
בית עלמין	1	place	Q846659	Jewish cemetery	cemetery for Jewish people	2	yi:Q846659;Q2444377	B_review
ברעסלע	1	settlements	Q1799	Wrocław	city in the Lower Silesian Voivodeship, southwestern Poland, and historical capital of Silesia	2	yi:Q1799;Q628623	B_review
גאלאטי	1	settlements	Q26847	Galatia	area in the highlands of central Asia Minor	1	yi:Q26847	B_review
דאָרט	1	place	Q1295	Dortmund	city in North Rhine-Westphalia, Germany	2	yi:Q1295;Q503331	B_review
וואַלין	1	province	Q7530	Volhynia	historical region in south-eastern Poland, south-western Belarus, and western Ukraine	2	exact-but-multi:Q7530;Q11874	B_review
ליפּנע	1	settlements	Q4262677	Lypne	village in Kivertsi Raion, Volyn Oblast, Ukraine	2	exact-but-multi:Q4262677;Q324922	B_review
ליפלאַנד	1	province	Q183464	Livonia	historic region along the eastern shores of the Baltic Sea	1	yi:Q183464	B_review
נ. י	1	settlements	Q60	New York City	most populous city in the United States	2	exact-but-multi:Q60;Q1384	B_review
נאָוו	1	province	Q1952	Nova Scotia	province of Canada	3	yi:Q1952;Q208175;Q5266	B_review
סאַראַט	1	province	Q19945	Sarratt	village in Hertfordshire, England	2	exact-but-multi:Q19945;Q39673	B_review
פאַנטשע	1	settlements	Q49359905			2	exact-but-multi:Q49359905;Q899454	B_review
קעטסקיל-בערג	1	province	Q630566	Catskill Mountains	mountain range in the southeastern portion of the U.S. state of New York	1	yi:Q630566	B_review
אַמעריקאַ	1	countries	Q8676	American Civil War	1861–1865 civil war in the United States between the North and the South over the enslavement of African-Americans	1	yi:Q8676	B_review
