severity	occ	yiddish	yi_proxy	qid	kima_rom	dice_rom	n_kima_variants	methods
STRONG	2	מעקסיקע	meksike	Q1489	Mexico City (Mexico)	0.13	2	(blank):2
STRONG	2	לאָנג איילאַנד	long eyland	Q60	New York (N.Y.)	0.0	24	qid_map:2
STRONG	2	הר נבו	hr nbu	Q8519552	Mount Nebo	0.0	1	qid_map:2
STRONG	2	ניקאָ'אַיעוו	nikoaiev	Q41572	Mykolaïv (Mykolaïvsʹka oblastʹ, Ukraine)	0.29	7	kima_name_exact:2
STRONG	2	"ב""א"	ba	Q1486	Buenos Aires (Argentina)	0.0	30	kima_name_exact:2
STRONG	1	פֿילאָדעלפיע	filodelfie	Q1400	Pennsylvania	0.0	1	(blank):1
STRONG	1	„מאַנהעטן סטעיט האָספּיטאַל״ פֿון סענטראל אייסליפּ	manhetn steit hospital fun sentral eyslip	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	מאָונט וואוירנאָן	mount voyrnon	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	פּעלהאַם-קע	pelhamke	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	משוגעים-הויז אויף קירילאָווקע	mshugeimhoyz oyf kirilovke	Q1899	Kiev (Ukraine)	0.08	10	(blank):1
STRONG	1	פאַרק ריטש	fark ritch	Q1408	New Jersey	0.0	6	(blank):1
STRONG	1	אַרבעטער רינג סאַנאַטאָריע פֿאַר שווינדזיכטיקע	arbeter ring sanatorie far shvindzikhtike	Q60	New York (N.Y.)	0.05	24	(blank):1
STRONG	1	פֿוירנדעיל	foyrndeil	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	סאַראַטאָגאַ ספּרינגס	saratoga springs	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	מאַנטעפיאָרע-שפּיטאָל	mantefioreshpitol	Q60	New York (N.Y.)	0.09	24	(blank):1
STRONG	1	אַ דאָרף נעבן יעקאַטערינאָסלאָוו	a dorf nebn yekaterinoslov	Q48256	Dnipro (Ukraine)	0.0	1	(blank):1
STRONG	1	רווינסק	rvinsk	Q156739	Rivne (Rivnensʹka oblastʹ, Ukraine)	0.0	7	(blank):1
STRONG	1	אויפֿן וועג פֿון כאָסטאָן קיין ניו יאָרק	oyfn veg fun khoston keyn niu york	Q60	New York (N.Y.)	0.19	24	(blank):1
STRONG	1	יידישן שפּיטאָל אין וואַרשע	eydishn shpitol in varshe	Q270	Warsaw (Poland)	0.17	28	(blank):1
STRONG	1	ניויאָרקער שפּיטאָל פֿאַר גייסטיק-קראַנקע	nioyorker shpitol far geystikkranke	Q60	New York (N.Y.)	0.17	24	(blank):1
STRONG	1	וואַרשעווער יידישן שפּיטאָל	varshever eydishn shpitol	Q270	Warsaw (Poland)	0.16	28	(blank):1
STRONG	1	ווילנער „משמרת החולים“	vilner mshmrt hkhulim	Q216	Vilnius (Lithuania)	0.25	11	(blank):1
STRONG	1	נ. י.	n y	Q1384	New York (State)	0.0	2	(blank):1
STRONG	1	אויפֿן וועג קיין יעליסאַוועטגראָד	oyfn veg keyn yelisavetgrod	Q158292	Kirovohrad (Ukraine)	0.06	9	(blank):1
STRONG	1	באַהיע	bahie	Q36947	Salvador (Brazil)	0.0	2	(blank):1
STRONG	1	זשדאַנאָוו	zhdanov	Q37133	Mariupolʹ (Ukraine)	0.0	2	(blank):1
STRONG	1	מאָגילעוו	mogilev	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)	0.19	7	(blank):1
STRONG	1	לוואָוו [לעמבערגער]	lvov lemberger	Q36036	Lʹviv (Ukraine)	0.14	12	(blank):1
STRONG	1	פרונזע	frunze	Q9361	Bishkek (Kyrgyzstan)	0.0	2	(blank):1
STRONG	1	לאָדזשער געטאָ	lodzher geto	Q327895	Litzmannstadt-Getto (Łódź, Poland)	0.22	2	(blank):1
STRONG	1	בראַנקסער שפּיטאָל	brankser shpitol	Q60	New York (N.Y.)	0.0	24	(blank):1
STRONG	1	ווראָצלאַוו (ברעסלוי)	vrotslav bresloy	Q1799	Wrocław (Poland)	0.11	15	(blank):1
STRONG	1	טשאַן	tchan	Q2637331	Teofipolʹ (Ukraine)	0.0	2	(blank):1
STRONG	1	רעזישטשעוו	rezishtchev	Q71731	Rz︠h︡yshchiv (Ukraine)	0.21	2	(blank):1
STRONG	1	ביאַלע	biale	Q209932	Biała Podlaska (Poland)	0.27	4	(blank):1
STRONG	1	מאָהילעוו אויפֿן דניעסטער	mohilev oyfn dniester	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)	0.18	7	(blank):1
STRONG	1	פּראַגע וואַרשע	prage varshe	Q270	Warsaw (Poland)	0.27	28	(blank):1
STRONG	1	אַסטראָפּאָליע	astropolie	Q997429	Starokosti︠a︡ntyniv (Ukraine)	0.17	8	(blank):1
STRONG	1	טרייסק	treysk	Q1022993	Phillipsburg (Kan.)	0.0	1	(blank):1
STRONG	1	בריסק-דליטאָ	briskdlito	Q140147	Brest (Belarus)	0.15	2	(blank):1
STRONG	1	אָמעייקע	omeeyke	Q30	United States	0.0	2	(blank):1
STRONG	1	יעקאַטערינאָזלאָוו	yekaterinozlov	Q48256	Dnipro (Ukraine)	0.0	1	(blank):1
STRONG	1	מעזשירעוו	mezhirev	Q1022485	Medz︠h︡ybiz︠h︡ (Ukraine)	0.27	6	(blank):1
STRONG	1	אָמע'קע	omeke	Q30	United States	0.0	2	(blank):1
STRONG	1	יעקאָטערינאָסלאָוו	yekoterinoslov	Q48256	Dnipro (Ukraine)	0.0	1	(blank):1
STRONG	1	יאָסי ראָמאַן אָדער גאָלאַץ	yosi roman oder golats	Q46852	Iași (Romania)	0.1	11	(blank):1
STRONG	1	יאָסי אָדער ראָמאַן	yosi oder roman	Q46852	Iași (Romania)	0.13	11	(blank):1
STRONG	1	דומעניע	dumenie	Q218	Romania	0.17	1	(blank):1
STRONG	1	ראַרויווילאָוו	raroyvilov	Q1020069	Radyvyliv (Ukraine)	0.24	3	(blank):1
STRONG	1	אָלט-קאָנסטאָנטיין	oltkonstonteyn	Q997429	Starokosti︠a︡ntyniv (Ukraine)	0.3	8	(blank):1
STRONG	1	ניישטאָט	neyshtot	Q5266	Novo mesto (Slovenia)	0.13	3	(blank):1
STRONG	1	לאָדזש אָדער פּיעטריקאָוו	lodzh oder pietrikov	Q580	Łódź (Poland)	0.22	4	(blank):1
STRONG	1	פֿאָלטיטשען אָדער בוקאַרעסט	foltitchen oder bukarest	Q192265	Focsani (Romania)	0.07	4	(blank):1
STRONG	1	שטשעזשעץ	shtchezhets	Q393	Szczecin (Poland)	0.0	2	(blank):1
STRONG	1	אַנעשישאָק	aneshishok	Q505416	Anykščiai (Lithuania)	0.12	4	(blank):1
STRONG	1	רימאַ	rima	Q2588425	Rymanów (Poland)	0.22	2	(blank):1
STRONG	1	קאָנסטאַנטינאָגראָד	konstantinogrod	Q1104739	Krasnohrad (Ukraine)	0.09	1	(blank):1
STRONG	1	פּאַהאַסט	pahast	Q3917727	Pogost-Zagorodskiy (Belarus)	0.1	2	(blank):1
STRONG	1	גער	ger	Q985642	Góra Kalwaria (Poland)	0.14	2	(blank):1
STRONG	1	מאָהיליעוו אויפֿן דניעפר	mohiliev oyfn dniefr	Q154835	Mahili︠o︡ŭ (Belarus)	0.26	7	(blank):1
STRONG	1	מאָהילעוו ביים דניעפר	mohilev beym dniefr	Q154835	Mahili︠o︡ŭ (Belarus)	0.17	7	(blank):1
STRONG	1	אַלעקסאַנדראָווסק	aleksandrovsk	Q157835	Zaporiz︠h︡z︠h︡i︠a︡ (Ukraine)	0.0	2	(blank):1
STRONG	1	אַלעיאָוו	aleiov	Q913143	Olevsk (Ukraine)	0.2	3	(blank):1
STRONG	1	רזשעקאַ	rzheka	Q598	Rzeszów (Poland)	0.18	6	(blank):1
STRONG	1	מזרח-פּוילן	mzrkhpoyln	Q145972	Zamość (Poland)	0.0	5	(blank):1
STRONG	1	ווילנער	vilner	Q707539	Žydų gatvė (Vilnius, Lithuania)	0.0	1	(blank):1
STRONG	1	רעמניקו	remniku	Q617624	Rîmnicu Sărat (Romania)	0.24	3	(blank):1
STRONG	1	בריסק ליטאָווסק	brisk litovsk	Q140147	Brest (Belarus)	0.14	2	(blank):1
STRONG	1	פֿאַרייניקטע שטאָטן פֿון אַמעריקע	fareynikte shtotn fun amerike	Q30	United States	0.24	2	(blank):1
STRONG	1	לאַנגאיילאַנד	langeyland	Q60	New York (N.Y.)	0.0	24	qid_map:1
STRONG	1	לאנג איילאַנד	lang eyland	Q60	New York (N.Y.)	0.0	24	qid_map:1
STRONG	1	מזרח גאַליציע	mzrkh galitsie	Q3573883	Eastern Galicia	0.24	2	qid_map:1
STRONG	1	מזרח-גאליציע	mzrkhgalitsie	Q3573883	Eastern Galicia	0.24	2	qid_map:1
STRONG	1	קרעמענטשוגער אויעזד, כערסאָנער גוב.	krementchuger oyezd khersoner gub	Q1540289	Kherson Governorate	0.28	1	guberniya_governorate:1
STRONG	1	קאַוונער	kavner	Q4115712	Kaunas (Lithuania)	0.2	13	adjectival_er_strip:1
STRONG	1	מזרח-גאָליציע	mzrkhgolitsie	Q3573883	Eastern Galicia	0.08	2	qid_map:1
STRONG	1	מאַהיל. גוב.	mahil gub	Q586369	Mogilevskaya gubernīi︠a︡ (Russia)	0.22	1	guberniya_governorate:1
STRONG	1	ב'א	ba	Q1486	Buenos Aires (Argentina)	0.0	30	qid_map:1
STRONG	1	ב'אַ	ba	Q1486	Buenos Aires (Argentina)	0.0	30	qid_map:1
STRONG	1	בראָנזווייל	bronzveyl	Q991279	Brownsville (New York, N.Y.)	0.22	2	kima_name_exact:1
STRONG	1	פֿאַראייניקטע שטאָטן פֿון אַמעריקע	fareynikte shtotn fun amerike	Q30	United States	0.24	2	qid_map:1
STRONG	1	פֿרונזער	frunzer	Q9361	Bishkek (Kyrgyzstan)	0.0	2	adjectival_er_strip:1
STRONG	1	לעמבערגער	lemberger	Q36036	Lʹviv (Ukraine)	0.0	12	adjectival_er_strip:1
STRONG	1	בראַנזווייל	branzveyl	Q991279	Brownsville (New York, N.Y.)	0.11	2	kima_name_exact:1
STRONG	1	קעשענעווער	keshenever	Q21197	Chișinău (Moldova)	0.0	17	adjectival_er_strip:1
STRONG	1	פֿאַראייניקטע שטאָטן פֿון אַמעריקע	fareynikte shtotn fun amerike	Q30	United States	0.24	2	qid_map:1
STRONG	1	סאָוועטן-פאַרבאַנד	sovetnfarband	Q15180	Soviet Union	0.27	1	qid_map:1
STRONG	1	גריכנלאַנד	grikhnland	Q41	Greece	0.14	1	qid_map:1
STRONG	1	לעמבערנ	lembern	Q36036	Lʹviv (Ukraine)	0.0	12	kima_name_exact:1
STRONG	1	ב. א.	b a	Q1486	Buenos Aires (Argentina)	0.0	30	kima_name_exact:1
STRONG	1	מאָהילעווער	mohilever	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)	0.26	7	adjectival_er_strip:1
STRONG	1	דייטשלאַנד	deytchland	Q183	Germany	0.13	1	qid_map:1
STRONG	1	פאַראייניקטע שטאָטן	fareynikte shtotn	Q30	United States	0.24	2	qid_map:1
STRONG	1	ל. א.	l a	Q65	Los Angeles (Calif.)	0.2	16	kima_name_exact:1
WEAK	96	ווייסרוסלאַנד	veysrusland	Q184	Belarus	0.38	4	(blank):72|qid_map:24
WEAK	42	ווייס-רוסלאַנד	veysrusland	Q184	Belarus	0.38	4	(blank):32|qid_map:10
WEAK	35	פראַנקרייך	frankreykh	Q142	France	0.43	1	qid_map:35
WEAK	31	מינסקער גוב.	minsker gub	Q593230	Minsk Governorate	0.42	1	guberniya_governorate:31
WEAK	19	פֿראַנקרייך	frankreykh	Q142	France	0.43	1	qid_map:16|(blank):3
WEAK	19	גראָדנער גוב.	grodner gub	Q2294422	Grodno Governorate	0.42	1	guberniya_governorate:19
WEAK	15	בראַנזוויל	branzvil	Q991279	Brownsville (New York, N.Y.)	0.35	2	qid_map:10|(blank):5
WEAK	12	קאָוונער גוב.	kovner gub	Q1540300	Kovno Governorate	0.38	1	guberniya_governorate:12
WEAK	11	מאָהילעווער גוב.	mohilever gub	Q586369	Mogilevskaya gubernīi︠a︡ (Russia)	0.45	1	guberniya_governorate:11
WEAK	11	פראנקרייך	frankreykh	Q142	France	0.43	1	qid_map:11
WEAK	10	עסטלאַנד	estland	Q191	Estonia	0.33	1	(blank):7|qid_map:3
